Scientific Name,Common Name,Status,Date Listed,Profile Available
Veronica derwentiana subsp. homalodonta,Mount Lofty Speedwell,Critically Endangered,24-Dec-09,Yes
Verticordia apecta,"Hay River Featherflower, Scruffy Verticordia",Critically Endangered,19-Aug-10,Yes
Westringia cremnophila,Snowy River Westringia,Critically Endangered,4-Sep-24,Yes
Wikstroemia australis,Kurrajong,Critically Endangered,25-Nov-03,Yes
Wollemia nobilis,Wollemi Pine,Critically Endangered,11-May-18,Yes
Xyris exilis,Stirling Range Xyris,Critically Endangered,4-Sep-24,Yes
Zieria adenophora,Araluen Zieria,Critically Endangered,15-Nov-23,Yes
Zieria buxijugum,Box Range Zieria,Critically Endangered,25-Sep-20,Yes
Zieria exsul,Banished Stink Bush,Critically Endangered,8-Dec-21,Yes
Zieria odorifera subsp. warrabahensis,,Critically Endangered,25-Sep-20,Yes
Zieria parrisiae,Parris's Zieria,Critically Endangered,11-May-18,Yes
Acacia aprica,Blunt Wattle,Endangered,16-Jul-00,Yes
Acacia aristulata,Watheroo Wattle,Endangered,16-Jul-00,Yes
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,16-Jul-00,Yes
Acacia auratiflora,Orange-flowered Wattle,Endangered,16-Jul-00,Yes
Acacia baueri subsp. aspera,,Endangered,15-Nov-23,Yes
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,16-Jul-00,Yes
Acacia chapmanii subsp. australis,,Endangered,18-Aug-06,Yes
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,16-Jul-00,Yes
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,5-Mar-25,Yes
Acacia cretacea,Chalky Wattle,Endangered,16-Jul-00,Yes
Acacia enterocarpa,Jumping-jack Wattle,Endangered,16-Jul-00,Yes
Acacia gordonii,,Endangered,16-Jul-00,Yes
Acacia imitans,Gibson Wattle,Endangered,8-Jan-09,Yes
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,16-Jul-00,No
Acacia lanigera var. gracilipes,,Endangered,7-Sep-23,Yes
Acacia lanuginophylla,Woolly Wattle,Endangered,16-Jul-00,Yes
Acacia leptalea,Chinocup Wattle,Endangered,16-Jul-00,Yes
Acacia lobulata,Chiddarcooping Wattle,Endangered,16-Jul-00,Yes
Acacia meiantha,,Endangered,11-May-18,Yes
Acacia pharangites,Wongan Gully Wattle,Endangered,16-Jul-00,Yes
Acacia pinguifolia,"Fat-leaved Wattle, Fat-leaf Wattle",Endangered,16-Jul-00,Yes
Acacia porcata,,Endangered,16-Jul-00,Yes
Acacia pubifolia,Velvet Wattle,Endangered,6-Feb-26,Yes
Acacia pygmaea,Dwarf Rock Wattle,Endangered,16-Jul-00,Yes
Acacia recurvata,Recurved Wattle,Endangered,16-Jul-00,Yes
Acacia rhamphophylla,Kundip Wattle,Endangered,16-Jul-00,Yes
Acacia ruppii,Rupp's Wattle,Endangered,16-Jul-00,Yes
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,16-Jul-00,Yes
Acacia spilleriana,Spiller's Wattle,Endangered,24-Dec-09,Yes
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,16-Jul-00,Yes
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,16-Jul-00,Yes
Acacia terminalis subsp. terminalis MS = Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126),Sunshine Wattle (Sydney region),Endangered,16-Jul-00,Yes
Acacia vassalii,Vassal's Wattle,Endangered,16-Jul-00,Yes
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,16-Jul-00,Yes
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,16-Jul-00,Yes
Acacia wilsonii,Wilson's Wattle,Endangered,11-May-18,Yes
Acacia woodmaniorum,Woodman's Wattle,Endangered,4-Jul-19,Yes
Acronychia littoralis,Scented Acronychia,Endangered,16-Jul-00,Yes
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,16-Jul-00,Yes
Adenanthos eyrei,Toolinna Adenanthos,Endangered,16-Jul-00,Yes
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,16-Jul-00,Yes
Adenanthos velutinus,Velvet Woollybush,Endangered,16-Jul-00,Yes
Alectryon ramiflorus,Isis Tamarind,Endangered,16-Jul-00,Yes
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,16-Jul-00,Yes
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,16-Jul-00,Yes
Allocasuarina glareicola,,Endangered,16-Jul-00,Yes
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,16-Jul-00,Yes
Allocasuarina robusta,Mount Compass Oak-bush,Endangered,27-Nov-06,Yes
Allocasuarina thalassoscopica,,Endangered,16-Jul-00,Yes
Almaleea cambagei,Torrington Pea,Endangered,15-Nov-23,Yes
Amyema plicatula,,Endangered,16-Jul-00,Yes
Andersonia gracilis,Slender Andersonia,Endangered,16-Jul-00,No
Androcalva perlaria,Pearl-like Androcalva,Endangered,4-Jul-19,Yes
Androcalva rosea,Sandy Hollow Commersonia,Endangered,8-Jan-08,Yes
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,16-Jul-00,Yes
Aponogeton bullosus,,Endangered,16-Jul-00,No
Aponogeton prolifer,an aquatic herb,Endangered,16-Jul-00,No
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,16-Jul-00,No
Aristida granitica,,Endangered,16-Jul-00,No
Aristida thompsonii,Thompson's Wiregrass,Endangered,6-Feb-26,Yes
Asterolasia elegans,,Endangered,16-Jul-00,No
Astrotricha roddii,,Endangered,16-Jul-00,No
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Wingan Star-hair,Endangered,7-Sep-23,Yes
Atalaya collina,Yarwun Whitewood,Endangered,16-Jul-00,Yes
Atriplex yeelirrie,,Endangered,22-Oct-15,Yes
Austrostipa bronwenae = Austrostipa bronweniae,,Endangered,15-Feb-18,Yes
Austrostipa wakoolica,,Endangered,16-Jul-00,No
Baeckea kandos,a shrub,Endangered,16-Jul-00,Yes
Ballantinia antipoda,Southern Shepherd's Purse,Endangered,16-Jul-00,Yes
Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Endangered,16-Jul-00,Yes
Banksia ionthocarpa,Kamballup Dryandra,Endangered,16-Jul-00,Yes
Banksia mimica,Summer Honeypot,Endangered,16-Jul-00,Yes
Banksia nivea subsp. uliginosa,Swamp Honeypot,Endangered,16-Jul-00,Yes
Banksia oligantha,Wagin Banksia,Endangered,16-Jul-00,Yes
Banksia penicillata,a banksia,Endangered,4-Sep-24,Yes
Banksia pseudoplumosa,False Plumed-Banksia,Endangered,8-Jan-09,Yes
Banksia rufa subsp. pumila,,Endangered,11-May-18,Yes
Barbarea australis,"Native Wintercress, Riverbed Wintercress",Endangered,24-Jan-14,Yes
Bertya granitica,a shrub,Endangered,16-Jul-00,Yes
Bertya ingramii,a shrub,Endangered,16-Jul-00,Yes
Bertya mollissima,,Endangered,31-Mar-23,Yes
Bertya sp. Clouds Creek (M.Fatemi 4),,Endangered,5-Oct-22,Yes
Bertya tasmanica subsp. tasmanica,Tasmanian Bertya,Endangered,6-Jun-05,Yes
Beyeria lepidopetala,"Small-petalled Beyeria, Short-petalled Beyeria",Endangered,16-Jul-00,Yes
Blechnum norfolkianum,Norfolk Island Water-fern,Endangered,25-Nov-03,No
Boronia capitata subsp. capitata,a shrub,Endangered,16-Jul-00,Yes
Boronia clavata,Bremer Boronia,Endangered,8-Jan-09,Yes
Boronia deanei subsp. acutifolia,,Endangered,5-Mar-25,No
Boronia deanei subsp. deanei,,Endangered,5-Mar-25,No
Boronia exilis,Scott River Boronia,Endangered,16-Jul-00,Yes
Boronia granitica,Granite Boronia,Endangered,16-Jul-00,Yes
Boronia repanda,"Repand Boronia, Border Boronia",Endangered,16-Jul-00,Yes
Boronia revoluta,Ironcap Boronia,Endangered,16-Jul-00,Yes
Boronia subulifolia,Awl-leaved Boronia,Endangered,5-Mar-25,Yes
Borya mirabilis,Grampians Pincushion-lily,Endangered,16-Jul-00,No
Bossiaea peninsularis,Sword Bossiaea,Endangered,7-Dec-16,Yes
Bossiaea sp. Frankland (E.M.Sandiford EMS 896) = Bossiaea reptans,,Endangered,4-Jul-19,Yes
Brachyscome muelleri,Corunna Daisy,Endangered,16-Jul-00,Yes
Burmannia sp. Bathurst Island (R.Fensham 1021) = Burmannia championii,,Endangered,16-Jul-00,No
Caladenia amnicola,,Endangered,16-Jul-24,Yes
Caladenia amoena,Charming Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia arenaria,Sand-hill Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia argocalla,White-beauty Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia atroclavia,Black-clubbed Spider-orchid,Endangered,16-Jul-00,No
Caladenia audasii,"McIvor Spider-orchid, Audas' Spider-orchid",Endangered,16-Jul-00,Yes
Caladenia barbarella,"Small Dragon Orchid, Common Dragon Orchid",Endangered,1-Dec-09,Yes
Caladenia behrii,Pink-lipped Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia bryceana subsp. bryceana,Dwarf Spider-orchid,Endangered,16-Jul-00,No
Caladenia busselliana,Bussell's Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia caesarea subsp. maritima,Cape Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia colorata,"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,16-Jul-00,Yes
Caladenia conferta,Coast Spider-orchid,Endangered,27-Nov-06,Yes
Caladenia dienema,Windswept Spider-orchid,Endangered,4-Mar-11,Yes
Caladenia dorrienii,Cossack Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia drakeoides,Hinged Dragon Orchid,Endangered,16-Jul-00,Yes
Caladenia elegans,Elegant Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia excelsa,Giant Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia fulva,Tawny Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia gladiolata,"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,16-Jul-00,Yes
Caladenia graniticola,"Pingaring Spider-orchid, Granite Spider-orchid",Endangered,4-Jul-19,Yes
Caladenia granitora,,Endangered,11-May-18,Yes
Caladenia hastata,Melblom's Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia hoffmanii,Hoffman's Spider-orchid,Endangered,16-Jul-00,No
Caladenia hopperiana,"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,15-Feb-18,Yes
Caladenia huegelii,"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,16-Jul-00,Yes
Caladenia leucochila,Collie Spider Orchid,Endangered,11-May-18,Yes
Caladenia lowanensis,Wimmera Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia macroclavia,Large-club Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia orientalis,Eastern Spider Orchid,Endangered,16-Jul-00,Yes
Caladenia ovata,Kangaroo Island Spider-orchid,Endangered,5-Mar-25,Yes
Caladenia richardsiorum,Little Dip Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia rigida,Stiff White Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia robinsonii,Frankston Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia rosella,"Rosella Spider-orchid, Little Pink Spider-orchid",Endangered,16-Jul-00,Yes
Caladenia tensa,"Greencomb Spider-orchid, Rigid Spider-orchid",Endangered,16-Jul-00,Yes
Caladenia thysanochila,Fringed Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia viridescens,Dunsborough Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia williamsiae,Williams Spider Orchid,Endangered,18-Aug-06,Yes
Caladenia winfieldii,Majestic Spider-orchid,Endangered,16-Jul-00,No
Caladenia xanthochila,Yellow-lip Spider-orchid,Endangered,16-Jul-00,Yes
Caladenia xantholeuca,"White Rabbits, Flinders Ranges White Caladenia",Endangered,16-Jul-00,No
Callitris oblonga subsp. oblonga,South Esk Pine,Endangered,16-Jul-00,No
Calochilus psednus,Cardwell Beard Orchid,Endangered,16-Jul-00,No
Calochilus pulchellus,"Pretty Beard Orchid, Pretty Beard-orchid",Endangered,5-Oct-22,Yes
Calochilus richiae,Bald-tip Beard-orchid,Endangered,16-Jul-00,No
Calotis moorei,Moore's Burr-daisy,Endangered,16-Jul-00,Yes
Calytrix breviseta subsp. breviseta,Swamp Starflower,Endangered,16-Jul-00,Yes
Carronia pedicellata,,Endangered,16-Jul-00,No
Cassinia heleniae,,Endangered,7-Sep-23,Yes
Cassinia theodorii,Kaputar Cassinia,Endangered,5-Mar-25,Yes
Centrolepis pedderensis,"Pedder Centrolepis, Pedder Bristlewort",Endangered,26-Nov-08,Yes
Chamelaucium sp. Gingin (N.G.Marchant 6) = Chamelaucium lullfitzii,Gingin Wax,Endangered,16-Jul-00,Yes
Chiloglottis anaticeps,Duck's-head Wasp-orchid,Endangered,5-Oct-22,Yes
Chingia australis,,Endangered,16-Jul-00,Yes
Chordifex abortivus,Manypeaks Rush,Endangered,16-Jul-00,No
Choretrum spicatum subsp. spicatum,Spiked Sour-bush,Endangered,7-Sep-23,Yes
Chorizema humile,Prostrate Flame Pea,Endangered,16-Jul-00,No
Chorizema varium,Limestone Pea,Endangered,16-Jul-00,No
Commersonia erythrogyna,Trigwell's Rulingia,Endangered,16-Jul-00,Yes
Commersonia prostrata,Dwarf Kerrawang,Endangered,16-Jul-00,Yes
Conospermum densiflorum subsp. unicephalatum,One-headed Smokebush,Endangered,16-Jul-00,Yes
Conostylis dielsii subsp. teres,Irwin's Conostylis,Endangered,16-Jul-00,Yes
Conostylis drummondii,Drummond's Conostylis,Endangered,16-Jul-00,Yes
Conostylis lepidospermoides,Sedge Conostylis,Endangered,16-Jul-00,Yes
Conostylis micrantha,Small-flowered Conostylis,Endangered,16-Jul-00,Yes
Conostylis misera,Grass Conostylis,Endangered,16-Jul-00,Yes
Conostylis seorsiflora subsp. trichophylla,Hairy Mat Conostylis,Endangered,16-Jul-00,Yes
Conostylis wonganensis,Wongan Conostylis,Endangered,16-Jul-00,Yes
Coopernookia georgei,Mauve Coopernookia,Endangered,16-Jul-00,No
Coprosma baueri,Coastal Coprosma,Endangered,25-Nov-03,No
Coprosma pilosa,Mountain Coprosma,Endangered,25-Nov-03,No
Corchorus cunninghamii,Native Jute,Endangered,16-Jul-00,Yes
Corokia whiteana,,Endangered,5-Oct-22,Yes
Correa eburnea,Deep Creek Correa,Endangered,24-Jan-14,Yes
Correa lawrenceana var. genoensis,Genoa River Correa,Endangered,16-Jul-00,Yes
Corunastylis brachystachya,"Short-spiked Midge-orchid, Rocky Cape Midge Orchid",Endangered,16-Jul-00,Yes
Cossinia australiana,Cossinia,Endangered,16-Jul-00,No
Craspedia preminghana,Preminghana Billybutton,Endangered,6-Jul-04,Yes
Crepidium lawleri = Dienia lawleri,,Endangered,16-Jul-00,No
Cyathea exilis,a tree-fern,Endangered,16-Jul-00,No
Cycas megacarpa,,Endangered,16-Jul-00,Yes
Cycas ophiolitica,,Endangered,16-Jul-00,Yes
Cynanchum elegans,White-flowered Wax Plant,Endangered,16-Jul-00,Yes
Cyperus cephalotes,,Endangered,16-Jul-00,No
Cyphanthera scabrella,,Endangered,5-Sep-25,Yes
Daphnandra johnsonii,Illawarra Socketwood,Endangered,16-Jul-00,Yes
Darwinia acerosa,Fine-leaved Darwinia,Endangered,16-Jul-00,No
Darwinia apiculata,Scarp Darwinia,Endangered,16-Jul-00,Yes
Darwinia carnea,"Mogumber Bell, Narrogin Bell",Endangered,16-Jul-00,Yes
Darwinia chapmaniana,Chapman's Bell,Endangered,16-Jul-00,No
Darwinia ferricola,Scott River Darwinia,Endangered,16-Jul-00,No
Darwinia oxylepis,Gillam's Bell,Endangered,16-Jul-00,Yes
Darwinia polychroma,Harlequin Bell,Endangered,16-Jul-00,No
Darwinia whicherensis,Abba Bell,Endangered,16-Jul-00,Yes
Darwinia wittwerorum,Wittwer's Mountain Bell,Endangered,16-Jul-00,No
Davidsonia jerseyana,Davidson's Plum,Endangered,16-Jul-00,Yes
Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Endangered,16-Jul-00,Yes
Daviesia bursarioides,Three Springs Daviesia,Endangered,16-Jul-00,Yes
Daviesia cunderdin,Cunderdin Daviesia,Endangered,16-Jul-00,No
Daviesia dielsii,Diels' Daviesia,Endangered,11-Jun-09,Yes
Daviesia euphorbioides,Wongan Cactus,Endangered,16-Jul-00,No
Daviesia megacalyx,Long-sepalled Daviesia,Endangered,16-Jul-00,No
Daviesia microcarpa,Norseman Pea,Endangered,16-Jul-00,No
Daviesia obovata,Paddle-leaf Daviesia,Endangered,8-Jan-09,Yes
Daviesia speciosa,Beautiful Daviesia,Endangered,16-Jul-00,No
Dendrobium antennatum,Antelope Orchid,Endangered,16-Jul-00,Yes
Dendrobium brachypus,Norfolk Island Orchid,Endangered,25-Nov-03,No
Dendrobium mirbelianum,"Dark-stemmed Antler Orchid, Mangrove Orchid",Endangered,16-Jul-00,Yes
Dendrobium nindii,an orchid,Endangered,16-Jul-00,Yes
Denhamia megacarpa,Large-fruited Denhamia,Endangered,5-Oct-22,Yes
Deyeuxia appressa,,Endangered,16-Jul-00,No
Deyeuxia drummondii,"Drummond's Grass, Drummond Grass",Endangered,16-Jul-00,No
Deyeuxia talariata,Skirted Bent-grass,Endangered,5-Sep-25,Yes
Dianella amoena,Matted Flax-lily,Endangered,16-Jul-00,Yes
Dichanthium queenslandicum,King Blue-grass,Endangered,26-Feb-13,Yes
Dillwynia rupestris,,Endangered,6-Feb-26,Yes
Diospyros mabacea,"Red-fruited Ebony, Silky Persimmon, Ebony",Endangered,16-Jul-00,No
Diplazium pallidum,,Endangered,16-Jul-00,No
Diploglottis campbellii,Small-leaved Tamarind,Endangered,16-Jul-00,Yes
Diplolaena andrewsii,,Endangered,15-Feb-18,Yes
Dipodium campanulatum,Bell Flower Hyacinth Orchid,Endangered,21-May-15,Yes
Dipodium pictum,,Endangered,16-Jul-00,No
Diuris aequalis,Buttercup Doubletail,Endangered,2-Mar-21,Yes
Diuris basaltica,"Small Golden Moths Orchid, Early Golden Moths",Endangered,16-Jul-00,Yes
Diuris eborensis,,Endangered,11-May-18,Yes
Diuris fragrantissima,"Sunshine Diuris, Fragrant Doubletail, White Diuris",Endangered,16-Jul-00,Yes
Diuris lanceolata,Snake Orchid,Endangered,16-Jul-00,No
Diuris pedunculata,"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Endangered,16-Jul-00,Yes
Diuris purdiei,Purdie's Donkey-orchid,Endangered,16-Jul-00,No
Dodonaea subglandulifera,Peep Hill Hop-bush,Endangered,16-Jul-00,Yes
Drakaea confluens,Late Hammer-orchid,Endangered,16-Jul-00,Yes
Drakaea elastica,"Glossy-leafed Hammer Orchid, Glossy-leaved Hammer Orchid, Warty Hammer Orchid",Endangered,16-Jul-00,Yes
Drakaea isolata,Lonely Hammer-orchid,Endangered,16-Jul-00,Yes
Drummondita ericoides,Morseby Range Drummondita,Endangered,16-Jul-00,Yes
Elaeocarpus miegei,,Endangered,31-Mar-22,Yes
Elaeocarpus sedentarius,Minyon Quandong,Endangered,16-Jul-00,No
Elaeocarpus williamsianus,Hairy Quandong,Endangered,16-Jul-00,Yes
Endiandra cooperana,,Endangered,16-Jul-00,No
Endiandra floydii,"Floyd's Walnut, Crystal Creek Walnut",Endangered,16-Jul-00,No
Epacris apsleyensis,Apsley Heath,Endangered,16-Jul-00,Yes
Epacris barbata,Bearded Heath,Endangered,26-Nov-08,Yes
Epacris exserta,South Esk Heath,Endangered,16-Jul-00,Yes
Epacris glabella,Smooth Heath,Endangered,16-Jul-00,Yes
Epacris grandis,Tall Heath,Endangered,16-Jul-00,Yes
Epacris hamiltonii,,Endangered,16-Jul-00,Yes
Epacris sparsa,,Endangered,4-Sep-24,Yes
Epacris virgata,Pretty Heath,Endangered,16-Jul-00,Yes
Eremochloa muricata,,Endangered,16-Jul-00,No
Eremophila ciliata,,Endangered,11-May-18,Yes
Eremophila denticulata subsp. trisulcata,Cumquat Eremophila,Endangered,16-Jul-00,Yes
Eremophila glabra subsp. chlorella,,Endangered,15-Feb-18,Yes
Eremophila lactea,Milky Emu Bush,Endangered,16-Jul-00,No
Eremophila nivea,Silky Eremophila,Endangered,16-Jul-00,No
Eremophila pinnatifida,Pinnate-leaf Eremophila,Endangered,16-Jul-00,No
Eremophila resinosa,Resinous Eremophila,Endangered,16-Jul-00,No
Eremophila scaberula,Rough Emu Bush,Endangered,16-Jul-00,No
Eremophila subteretifolia,Lake King Eremophila,Endangered,16-Jul-00,No
Eremophila ternifolia,Wongan Eremophila,Endangered,16-Jul-00,No
Eremophila verticillata,Whorled Eremophila,Endangered,16-Jul-00,No
Eremophila virens,"Campion Eremophila, Green-flowered Emu bush",Endangered,16-Jul-00,No
Eremophila viscida,Varnish Bush,Endangered,16-Jul-00,No
Eriocaulon australasicum,"Austral Pipewort, Southern Pipewort",Endangered,16-Jul-00,Yes
Eriocaulon carsonii,"Salt Pipewort, Button Grass",Endangered,16-Jul-00,Yes
Eryngium fontanum,Blue Devil,Endangered,16-Jul-00,Yes
Eucalyptus absita,Badgingarra Box,Endangered,16-Jul-00,No
Eucalyptus alligatrix subsp. limaensis,Lima Stringybark,Endangered,26-Feb-13,Yes
Eucalyptus brevipes,Mukinbudin Mallee,Endangered,16-Jul-00,No
Eucalyptus broviniensis,,Endangered,20-Mar-23,Yes
Eucalyptus burdettiana,Burdett Gum,Endangered,16-Jul-00,No
Eucalyptus canobolensis,"Silver-leaf Candlebark, Mt Canobolas Candlebark",Endangered,19-Aug-10,Yes
Eucalyptus conglomerata,Swamp Stringybark,Endangered,16-Jul-00,Yes
Eucalyptus copulans,,Endangered,16-Jul-00,Yes
Eucalyptus crenulata,"Silver Gum, Buxton Gum",Endangered,16-Jul-00,Yes
Eucalyptus crucis subsp. praecipua,Paynes Find Mallee,Endangered,16-Jul-00,Yes
Eucalyptus cuprea,Mallee Box,Endangered,16-Jul-00,No
Eucalyptus dolorosa,"Dandaragan Mallee, Mount Misery Mallee",Endangered,16-Jul-00,Yes
Eucalyptus forresterae,Brumby Sallee,Endangered,31-Mar-23,Yes
Eucalyptus gunnii subsp. divaricata,Miena Cider Gum,Endangered,1-May-03,No
Eucalyptus x impensa,Eneabba Mallee,Endangered,16-Jul-00,Yes
Eucalyptus insularis,Twin Peak Island Mallee,Endangered,16-Jul-00,Yes
Eucalyptus largeana,Craven Grey Box,Endangered,11-May-18,Yes
Eucalyptus leprophloia,"Scaly Butt Mallee, Scaly-butt Mallee",Endangered,16-Jul-00,Yes
Eucalyptus macarthurii,"Camden Woollybutt, Paddys River Box",Endangered,5-May-16,Yes
Eucalyptus nudicaulis,Mt Isa Mallee,Endangered,7-Sep-23,Yes
Eucalyptus pachycalyx subsp. banyabba,Banyabba Shiny-barked Gum,Endangered,16-Jul-00,Yes
Eucalyptus x paludicola,"Mount Compass Swamp Gum, Fleurieu Swamp Gum, Marsh Gum",Endangered,27-Nov-06,Yes
Eucalyptus pruiniramis,"Midlands Gum, Jingymia Gum",Endangered,16-Jul-00,No
Eucalyptus recta,Silver Mallet,Endangered,11-Jun-09,Yes
Eucalyptus stenostoma,Jillaga Ash,Endangered,7-Sep-23,Yes
Eucalyptus sturgissiana,Ettrema Mallee,Endangered,5-Mar-25,Yes
Eucalyptus taurina,Helidon Ironbark,Endangered,7-Sep-23,Yes
Eucalyptus x balanites,"Cadda Road Mallee, Cadda Mallee",Endangered,16-Jul-00,No
Eucalyptus x phylacis,Meelup Mallee,Endangered,16-Jul-00,Yes
Euphrasia collina subsp. muelleri,"Purple Eyebright, Mueller's Eyebright",Endangered,16-Jul-00,Yes
Euphrasia collina subsp. osbornii,Osborn's Eyebright,Endangered,16-Jul-00,Yes
Euphrasia semipicta,Peninsula Eyebright,Endangered,16-Jul-00,Yes
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),"Masked Eyebright, Masked Cliff Eyebright",Endangered,16-Jul-00,Yes
Fimbristylis adjuncta,,Endangered,16-Jul-00,No
Frankenia conferta,Silky Frankenia,Endangered,1-Feb-07,No
Frankenia parvula,Short-leaved Frankenia,Endangered,18-Aug-06,Yes
Frankenia plicata,,Endangered,16-Jul-00,No
Gardenia actinocarpa,,Endangered,16-Jul-00,No
Gastrolobium glaucum,"Spike Poison, Wongan Poison",Endangered,16-Jul-00,No
Gastrolobium graniticum,Granite Poison,Endangered,16-Jul-00,No
Gastrolobium hamulosum,Hook-point Poison,Endangered,16-Jul-00,No
Gastrolobium humile,,Endangered,11-May-18,Yes
Gastrolobium papilio,Butterfly-leaved Gastrolobium,Endangered,16-Jul-00,Yes
Gaultheria viridicarpa,Green Waxberry,Endangered,25-Sep-20,Yes
Geniostoma huttonii,Hutton's Geniostoma,Endangered,26-Jun-15,Yes
Genoplesium baueri,"Yellow Gnat-orchid, Bauer's Midge Orchid, Brittle Midge Orchid",Endangered,25-Jan-14,Yes
Genoplesium plumosum = Corunastylis plumosa,"Plumed Midge-orchid, Tallong Midge Orchid",Endangered,16-Jul-00,Yes
Genoplesium rhyoliticum = Corunastylis rhyolitica,Pambula Midge-orchid,Endangered,16-Jul-00,Yes
Genoplesium tectum = Corunastylis tecta,Cardwell Midge Orchid,Endangered,16-Jul-00,Yes
Gentiana wingecarribiensis,Wingecarribee Gentian,Endangered,16-Jul-00,No
Gingidia rupicola,"Mountain Angelica, Broad-leafed Carrot",Endangered,16-Jul-00,Yes
Glyceria drummondii,Nangetty Grass,Endangered,16-Jul-00,No
Goodenia arthrotricha,,Endangered,15-Feb-18,Yes
Gossia fragrantissima,"Sweet Myrtle, Small-leaved Myrtle",Endangered,16-Jul-00,No
