Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe response,Habitat suitability,Risk,Expert change / reason for change
FABACEAE,Acacia longifolia,"n,q,s,t,v",,,Robertson (1970),Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Acacia mearnsii,"a,n,s,t,v",,,Weste (2001),"Weste (2001), Roleybushcare (2022)",,,Suitable,Low,
FABACEAE,Acacia megacephala,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia melanoxylon,"a,n,q,s,t,v",,,"Kueh (2011), Podger et al. (1990), Robertson (1970), Weste (2001)",Rudman (pers. comm.),Kueh (2011),,Suitable,Low,
FABACEAE,Acacia mitchelli,"n,s,v",,,"Cahill (pers. comm.), Weste (2001)",Groves et al. (2009),VNPS (1995),Weste (2001),Suitable,Low,
FABACEAE,Acacia mucronata,"n,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)",Groves et al. (2009),VNPS (1995),Weste (2001),Suitable,Low,
FABACEAE,Acacia multispicata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia mutabilis subsp. incurva,"nt,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia myrtifolia,"n,q,s,t,v,w",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)",,"Tynan et al. (1998), VNPS (1995), Velzeboer (pers. comm.)","Weste (2001), Wills (1993)",Suitable,Low,
FABACEAE,Acacia nervosa,w,,,,"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
FABACEAE,Acacia nigripilosa subsp. latifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia nodiflora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia obovata,w,,,,McDougall (1997),,,Suitable,Low,
FABACEAE,Acacia oxycedrus,"n,s,v",,,"Cahill (pers. comm.), Weste (2001)",Groves et al. (2009),VNPS (1995),Weste (2001),Suitable,Low,
FABACEAE,Acacia papulosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia paradoxa,"a,n,q,s,v",,,Kueh (2011),,"Kueh (2011), Velzeboer (pers. comm.)",,Suitable,Low,
FABACEAE,Acacia pataczekii,t,,V,Barker & Wardlaw (1995),,Barker & Wardlaw (1995),,Suitable,Low,
FABACEAE,Acacia phaeocalyx,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Acacia pharangites,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia pinguifolia,s,E,,Kueh (2011),Kueh (2011),,,Suitable,Low,
FABACEAE,Acacia plicata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia pravissima,"a,n,v",,,Robertson (1970),,,,Suitable,Low,
FABACEAE,Acacia preissiana,w,,,,Shearer & Dillon (1996),,,Suitable,Low,
FABACEAE,Acacia pulchella,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1996), Taylor (1974), DBCA (2021)",Gardner & Rokich (1987),Wills (1993),,Suitable,Low,
FABACEAE,Acacia pycnantha,"a,n,s,v",,,DBCA (2021),Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Acacia pygmaea,w,E,,,Shearer & Crane (unpub. data),,,Unsuitable,Low,
FABACEAE,Acacia recurvata,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia retinodes,s,,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Acacia rhodophloia,"nt,s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia rossei,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia saligna,w,,,DBCA (2021),Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia sciophanes,w,E,,,,,Shearer & Crane (unpub. data),Unsuitable,Low,
FABACEAE,Acacia semitrullata,w,,,,Groves et al. (2009),,,Suitable,Low,
FABACEAE,Acacia siculiformis,"a,n.t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
FABACEAE,Acacia splendens,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia spooneri,s,,,Kueh (2011),,Kueh (2011),,Unsuitable,Low,
FABACEAE,Acacia stenoptera,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",,,,Suitable,Low,
FABACEAE,Acacia suaveolens,"n,q,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)","Howard et al. (2004), Groves et al. (2009)","Rudman (pers. comm.), VNPS (1995)",,Suitable,Low,
FABACEAE,Acacia subracemosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia telmica,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia terminalis Eastern Sydney (G.P.Phillips 126),"n,t,v",E,,,"Wan et al. (2019), Roleybushcare (2022)",,,Suitable,Low,
FABACEAE,Acacia trulliformis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia ulicifolia,"a,n,q,t,v",,,"Podger et al. (1990), Weste (2001)",,,,Suitable,Low,
FABACEAE,Acacia undosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia unguicula,w,CE,,,Shearer & Crane (unpub. data),,,Suitable,Moderate,
FABACEAE,Acacia urophylla,w,,,McDougall (1997),"Podger (1972), Shearer & Dillon (1996)",McDougall (1997),,Suitable,Low,
FABACEAE,Acacia verniciflua,"a,n,q,v",,,Kueh (2011),,,Kueh (2011),Suitable,Low,
FABACEAE,Acacia veronica,w,,,,"Barrett et al. (2008), Shearer & Crane (unpub. data)",,,Suitable,Low,
FABACEAE,Acacia verticillata,"n,s,t,v",,,"Cahill (pers. comm.), Podger (1989), Podger et al. (1990), Pratt & Heather (1973), Weste (2001)",,,,Suitable,Low,
FABACEAE,Acacia vittata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia volubilis,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Aotus ericoides,"n,q,t,v",,,"Podger (1968), Podger et al. (1990)",,Titze & Palzer (1969),"Rudman (pers. comm.), Weste (2001)",Suitable,Low,
FABACEAE,Aotus genistoides,w,,E,DBCA (2021),,,Barrett (pers. comm.),Suitable,High,
FABACEAE,Aotus passerinoides,w,,V,"Podger (1968), Shivas (1989), DBCA (2021)",,"Podger (1972), Titze & Palzer (1969)",,Suitable,Low,
FABACEAE,Bossiaea aquifolium,w,,,"Shearer & Dillon (1995), DBCA (2021)",,McDougall (1997),,Suitable,Low,
FABACEAE,Bossiaea cinerea,"n,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,,"Rudman (pers. comm.), Weste (2001)",Suitable,Low,
FABACEAE,Bossiaea cucullata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Bossiaea eriocarpa,w,,,"Podger (1968), Shearer & Dillon (1995), Shearer & Dillon (1996)",,Hart (1983),,Suitable,Low,
FABACEAE,Bossiaea linophylla,w,,,Wills (1993),"Wills (1993), Freebury (pers. comm.)",,,Suitable,Low,
FABACEAE,Bossiaea obcordata,"n,q,t,v",,,Barker & Wardlaw (1995),,Barker & Wardlaw (1995),,Suitable,Low,
FABACEAE,Bossiaea ornata,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1995), DBCA (2021)",,"Edmiston (1989), McDougall (1997)",,Suitable,Low,
FABACEAE,Bossiaea prostrata,"a,n,q,s,t,v",,,"Cahill (pers. comm.), Weste (2001)",,"Rudman (pers. comm.), VNPS (1995)",Weste (2001),Suitable,Low,
FABACEAE,Bossiaea rufa,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
FABACEAE,Bossiaea webbii,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
FABACEAE,Callistachys lanceolata,w,,,,Barrett (pers. comm.),,,Suitable,Low,
FABACEAE,Castanospermum australe,"n,q",,,Brown (1998),Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Chorizema aciculare,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
FABACEAE,Chorizema carinatum,w,,V,,,,Wills (1993),Suitable,Moderate,
FABACEAE,Chorizema humile,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Chorizema rhombeum,w,,,,,,McDougall (1997),Suitable,Low,
FABACEAE,Chorizema varium,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Daviesia brevifolia,"s,v",,,"Cahill (pers. comm.), Weste (2001)",,,"Velzeboer (pers. comm.), Weste (2001)",Suitable,Low,
FABACEAE,Daviesia bursarioides,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Daviesia buxifolia,"n,v",,,,McDougall (pers. comm.),,,Suitable,Low,
FABACEAE,Daviesia campephylla ,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
FABACEAE,Daviesia crenulata,w,,V,,,,Barrett & Rathbone (2018) ,Suitable,Moderate,
FABACEAE,Daviesia decurrens,w,,,"Podger (1968), DBCA (2021)",,"McDougall (1997), Shearer & Dillon (1996)",,Suitable,Low,
FABACEAE,Daviesia elongata,w,V,E,DBCA (2021),,,,Suitable,High,
FABACEAE,Daviesia emarginata,w,,,,,,Moore (2005),Suitable,Moderate,
FABACEAE,Daviesia epiphyllum,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Daviesia euphorbioides,w,CE,,,,,Shearer & Crane (unpub. data),Suitable,Very high,
FABACEAE,Daviesia flexuosa,w,,,DBCA (2021),,,Bishop et al. (2010),Suitable,Moderate,
FABACEAE,Daviesia glossosema,w,CE,,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett et al. (2008), Barrett & Rathbone (2018)",Suitable,Very high,
FABACEAE,Daviesia incrassata,w,,,,,Hill (1990),Barrett (pers. comm.),Suitable,Low,
FABACEAE,Daviesia inflata,w,,,DBCA (2021),,Tynan et al. (2001),Wills (1993),Suitable,Low,
FABACEAE,Daviesia latifolia,"n,q,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003)",,VNPS (1995),,Suitable,Low,
FABACEAE,Daviesia leptophylla,"a,n,s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
FABACEAE,Daviesia lineata,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Daviesia megacalyx,w,E,CE,,,,Shearer & Crane (unpub. data),Suitable,Very high,
FABACEAE,Daviesia mesophylla,w,,E,,,,Barrett (pers. comm.),Suitable,High,
FABACEAE,Daviesia microcarpa,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Daviesia mimosoides,"a,n,q,v",,,"Pratt & Heather (1973), Taylor (1974)",,McDougall (pers. comm.),,Suitable,Low,
FABACEAE,Daviesia obovata,w,E,,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett et al. (2008), Barrett & Grant (pers. comm.), Shearer & Crane (unpub. data)",Suitable,High,
FABACEAE,Daviesia oppositifolia,w,,V,,,"Wills (1993), Barrett (pers. comm.)",,Suitable,Low,
FABACEAE,Daviesia ovata,w,CE,,DBCA (2021),,,Barrett (pers. comm.),Suitable,Very high,
FABACEAE,Daviesia oxylobium,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Daviesia pachyphylla,w,,,DBCA (2021),,Barrett (pers. comm.) ,,Suitable,Low,
FABACEAE,Daviesia physodes,w,,,,,Tynan et al. (2001),,Suitable,Low,
FABACEAE,Daviesia polyphylla,w,,,Shearer & Dillon (1995),,,,Suitable,Low,
FABACEAE,Daviesia preissii,w,,,,,,McDougall (1997),Suitable,Low,
FABACEAE,Daviesia pseudaphylla,w,CE,,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett et al. (2008), Shearer & Crane (unpub. data)",Suitable,Very high,
FABACEAE,Daviesia pteroclada,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
FABACEAE,Daviesia rhombifolia,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",,Shearer & Dillon (1996),,Suitable,Low,
FABACEAE,Daviesia spinosissima,w,,V,,,,Barrett (pers. comm.),Suitable,Moderate,
FABACEAE,Daviesia ulicifolia,"n,q,t,v,w",,,"Cahill (pers. comm.), Podger et al. (1990), Pratt & Heather (1973), Schahinger et al. (2003)",,"Rudman (pers. comm.), VNPS (1995)",,Suitable,Low,
FABACEAE,Daviesia wyattiana,"n,q,v",,,,,,McDougall & Summerell (2003),Suitable,Low,
FABACEAE,Dillwynia cinerascens,"n,s,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
FABACEAE,Dillwynia glaberrima,"n,q,s,t,v",,,"Cahill (pers. comm.), McDougall (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,"McDougall (pers. comm.), VNPS (1995)","Rudman (pers. comm.), Weste (2001)",Suitable,Low,
FABACEAE,Dillwynia phylicoides,"a,n,q,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Taylor (1974)",,VNPS (1995),,Suitable,Low,
FABACEAE,Dillwynia sericea,"a,n,q,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),Rudman (pers. comm.),Suitable,Low,
FABACEAE,Dillwynia tenuifolia,n,,,,McDougall (pers. comm.),,,Suitable,Low,
FABACEAE,Dillwynia uncinata,"s,v,w",,,"Podger (1968), Shivas (1989)",,,,Suitable,Low,
FABACEAE,Eutaxia parvifolia,w,,,,,Wills (1993),,Suitable,Low,
FABACEAE,Gastrolobium acrocaroli,w,,CE,,,Shearer & Crane (unpub. data),,Suitable,High,
FABACEAE,Gastrolobium acutum,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium axillare,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Gastrolobium bilobum,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Gastrolobium callistachys,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium congestum,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Gastrolobium coriaceum,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Gastrolobium crenulatum,w,,E,DBCA (2021),,"Barrett (pers. comm.), Shearer & Crane (unpub. data)",,Suitable,Moderate,
FABACEAE,Gastrolobium formosum,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium hamulosum,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Gastrolobium leakeanum,w,,CE,,,Wills (1993),"Barrett et al. (2008), Shearer & Crane (unpub. data)",Suitable,Very high,
FABACEAE,Gastrolobium lehmannii,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Gastrolobium luteifolium,w,CE,,"Barrett (pers. comm.), DBCA (2021)",,Shearer & Crane (unpub. data),Barrett (pers. comm.),Suitable,Very high,
FABACEAE,Gastrolobium mondurup,w,,CE,,,,Barrett (pers. comm.),Suitable,Very high,
FABACEAE,Gastrolobium ovalifolium,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Gastrolobium papilio,w,E,CE,,,,Shearer & Crane (unpub. data),Suitable,Very high,
FABACEAE,Gastrolobium propinquum,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium pulchellum,w,,CE,"Barrett (pers. comm.), DBCA (2021)",,,Barrett (1996),Suitable,Very high,
FABACEAE,Gastrolobium rigidum,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Gastrolobium rubrum,w,,E,DBCA (2021),,,"Barrett (pers. comm.), Moore (2005), Shearer & Crane (unpub. data)",Suitable,High,
FABACEAE,Gastrolobium sp. Yoongarillup (S.Dilkes s.n. 1/9/1969),w,,CE,,,Shearer & Crane (unpub. data),,Suitable,High,
FABACEAE,Gastrolobium spectabile,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
FABACEAE,Gastrolobium spinosum,w,,,,,Wills (1993),,Suitable,Low,
FABACEAE,Gastrolobium stenophyllum,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium subcordatum,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium tetragonophyllum,w,,,,,,Wills (1993),Suitable,Moderate,
FABACEAE,Gastrolobium tomentosum,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Gastrolobium velutinum,w,,V,,,"Moore (2005), Shearer & Crane (unpub. data)",,Suitable,Low,
FABACEAE,Gastrolobium vestitum,w,CE,,DBCA (2021),,,"Barrett et al. (2008), Shearer & Crane (unpub. data)",Suitable,Very high,
FABACEAE,Gastrolobium villosum,w,,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Gompholobium capitatum,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,Bishop et al. (2010),Suitable,Low,
FABACEAE,Gompholobium confertum,w,,,"Podger (1968), Shivas (1989)",,Barrett (pers. comm.),Wills (1993),Suitable,Low,
FABACEAE,Gompholobium ecostatum,"s,t,v",,,"Cahill (pers. comm.), Weste (2001)",,,Weste (2001),Suitable,Low,
FABACEAE,Gompholobium glabristylum,w,,E,,,,"Barrett & Rathbone (2018, as G. villosum) ",Suitable,High,
FABACEAE,Gompholobium huegelii,"a,n,q,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
FABACEAE,Gompholobium knightianum,w,,,Shearer & Dillon (1995),,McDougall (1997),,Suitable,Low,
FABACEAE,Gompholobium marginatum,w,,,,McDougall (1997),,,Suitable,Low,
FABACEAE,Gompholobium polymorphum,w,,,McDougall (1997),McDougall (1997),,,Suitable,Low,
FABACEAE,Gompholobium preissii,w,,,,McDougall (1997),,,Suitable,Low,
FABACEAE,Gompholobium tomentosum,w,,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Gompholobium villosum,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
FABACEAE,Hardenbergia comptoniana,w,,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Hardenbergia violacea,"a,n,q,s,t,v",,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Hovea chorizemifolia,w,,,"McDougall (1997), Shearer & Dillon (1996)",Shearer & Dillon (1996),McDougall (1997),,Suitable,Low,
FABACEAE,Hovea corrickiae,"t,v",,V,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,
FABACEAE,Hovea elliptica,w,,,"Podger (1968), Titze & Palzer (1969), Shivas (1989)",,Titze & Palzer (1969),Freebury (pers. comm.),Suitable,Low,
FABACEAE,Hovea linearis,"n,q,s",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
FABACEAE,Hovea pungens,w,,,Podger (1972),,Podger (1972),,Suitable,Low,
FABACEAE,Jacksonia alata,w,,,,McDougall (1997),,,Suitable,Low,
FABACEAE,Jacksonia calycina,w,,V,DBCA (2021),,,"Barrett & Rathbone (2018), Shearer & Crane (unpub. data)",Suitable,Moderate,
FABACEAE,Jacksonia floribunda,w,,,Hill (1990),,"Hill (1990), Titze & Palzer (1969)",,Suitable,Low,
FABACEAE,Jacksonia furcellata,w,,,"Shearer & Dillon (1996), DBCA (2021)",,,Shearer & Dillon (1996),Suitable,Low,
FABACEAE,Jacksonia grevilleoides,w,,V,,,,Wills (1993),Suitable,Moderate,
FABACEAE,Jacksonia horrida,w,,,,,,Freebury (pers. comm.),Suitable,Low,
FABACEAE,Jacksonia sericea,w,,V,,,,Barrett & Rathbone (2018) ,Suitable,Moderate,
FABACEAE,Jacksonia spinosa,w,,,"Hart (1983), DBCA (2021)",,"Hart (1983), Wills (1993)",,Suitable,Low,
FABACEAE,Jacksonia sternbergiana,w,,,"Shearer & Dillon (1996), DBCA (2021)",,,Shearer & Dillon (1996),Suitable,Low,
FABACEAE,Jacksonia velveta,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Kennedia coccinea,w,,,"McDougall (1997), Shearer & Dillon (1995), Shearer & Dillon (1996)",Shearer & Dillon (1996),,McDougall (1997),Suitable,Low,
FABACEAE,Kennedia glabrata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Kennedia lateritia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Kennedia prostrata,"n,s,t,v,w",,,Weste (2001),Roleybushcare (2022),,Weste (2001),Suitable,Low,
FABACEAE,Labichea punctata,w,,,McDougall (1997),,,McDougall (1997),Suitable,Low,
FABACEAE,Latrobea colophona,w,CE,,DBCA (2021),,,Barrett (pers. comm.),Suitable,Very high,
FABACEAE,Latrobea genistoides,w,,V,Hart (1983),,Hart (1983),,Suitable,Low,
FABACEAE,Latrobea hirtella,w,,V,Hart (1983),,Hart (1983),,Suitable,Moderate,
FABACEAE,Latrobea pinnaculum,w,,CE,DBCA (2021),,,Barrett (pers. comm.),Suitable,Very high,
FABACEAE,Mirbelia dilatata,w,,,"Shearer & Dillon (1996), Shivas (1989), DBCA (2021)",Shearer & Dillon (1996),,Freebury (pers. comm.),Suitable,Low,
FABACEAE,Oxylobium arborescens,"n,q,t,v",,,"Podger (1989), Podger et al. (1990), Pratt & Heather (1973)",,,,Suitable,Low,
FABACEAE,Oxylobium bracteosum,n,,CE,McDougall (pers. comm.),,McDougall (pers. comm.),,Suitable,High,
FABACEAE,Oxylobium ellipticum,"a,n,t,v",,,"McDougall et al. (2003), Podger et al. (1990), Pratt & Heather (1973), Rigg et al. (2018)",,Rigg et al. (2018),McDougall et al. (2003),Suitable,Low,
FABACEAE,Paraserianthes lophantha,w,,,,McDougall (pers. comm.),,,Suitable,Low,
FABACEAE,Phyllota diffusa,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,Schahinger et al. (2003),Suitable,Low,
FABACEAE,Phyllota humilis,w,,,,Groves et al. (2009),,,Suitable,Low,
FABACEAE,Platylobium obtusangulum,"s,t,v",,,"Kueh (2011), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),"Kueh (2011), Weste (2001)",Suitable,Low,
FABACEAE,Platylobium parviflorum,"n,t,v",,,"Cahill (pers. comm.), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),Rudman (pers. comm.),Suitable,Low,
FABACEAE,Podolobium ilicifolium,"n,q,v",,,Pratt & Heather (1973),McDougall (pers. comm.),,,Suitable,Low,
FABACEAE,Pultenaea altissima,"n,q,v",,,Taylor (1974),,,McDougall & Summerell (2003),Suitable,Low,
FABACEAE,Pultenaea aristata,n,V,,,,McDougall (pers. comm.),,Suitable,Low,
FABACEAE,Pultenaea baeuerlenii,n,V,E,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,High,
FABACEAE,Pultenaea benthamii,"n,v",,V,McDougall & Summerell (2003),,,McDougall & Summerell (2003),Suitable,Moderate,
FABACEAE,Pultenaea daphnoides,"n,q,s,t,v",,,"Kueh (2011), Pratt & Heather (1973), McDougall & Summerell (2003), Podger et al. (1990), Schahinger et al. (2003)",,Velzeboer (pers. comm.),"Kueh (2011), McDougall & Summerell (2003), Schahinger et al. (2003)",Suitable,Low,
FABACEAE,Pultenaea ericifolia,w,,,,Wills (1993),,,Suitable,Low,
FABACEAE,Pultenaea graveolens,"s,v",,V,"Kueh (2011), Weste (2001)",,,"Kueh (2011), Weste (2001)",Suitable,Moderate,
FABACEAE,Pultenaea gunnii,"n,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,,"Schahinger et al. (2003), Weste (2001)",Suitable,Low,
FABACEAE,Pultenaea humilis,"t,v",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),,Suitable,Low,
FABACEAE,Pultenaea involucrata,s,,V,Lee & Wicks (1977),,Velzeboer (pers. comm.),,Suitable,Low,
FABACEAE,Pultenaea juniperina,"a,n,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,Schahinger et al. (2003),Suitable,Low,
FABACEAE,Pultenaea largiflorens,"n,s,v",,,Kueh (2011),,,Kueh (2011),Suitable,Low,
FABACEAE,Pultenaea mollis,"n,t,v",,,"Barker & Wardlaw (1995), Weste (2001)",,VNPS (1995),"Barker & Wardlaw (1995), Weste (2001)",Suitable,Low,
FABACEAE,Pultenaea parrisiae,n,V,,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,Moderate,
FABACEAE,Pultenaea pauciflora,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Pultenaea pedunculata,"n,s,t,v",,,"Cahill (pers. comm.), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
FABACEAE,Pultenaea pinifolia,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Pultenaea procumbens,"a,n,v",,,Taylor (1974),,,,Suitable,Low,
FABACEAE,Pultenaea prostrata,"s,t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
FABACEAE,Pultenaea pycnocephala,"n,q",,V,McDougall & Summerell (2003),,,McDougall & Summerell (2003),Suitable,Moderate,
FABACEAE,Pultenaea reticulata,w,,,"Podger (1968), Pratt & Heather (1973), Shivas (1989), DBCA (2021)",,,"Wills (1993), Freebury (pers. comm.)",Suitable,Low,
FABACEAE,Pultenaea scabra,"n,q,s,v",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
FABACEAE,Pultenaea sericea,"n,t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
FABACEAE,Pultenaea skinneri,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
FABACEAE,Pultenaea sp. Genowlan Point (NSW 417813) NSW Herbarium,n,CE,,Wan et al. (2019),,,Wan et al. (2019),Suitable,Very high,
FABACEAE,Pultenaea spinosa,"a,n,q,v",,,Pratt & Heather (1973),,,,Suitable,Low,
FABACEAE,Pultenaea stricta,"s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),"Schahinger et al. (2003), Weste (2001)",Suitable,Low,
FABACEAE,Pultenaea subalpina,v,,E,Taylor (1974),,,,Suitable,High,
FABACEAE,Pultenaea subspicata,"a,n,v",,,Taylor (1974),,,,Suitable,Low,
FABACEAE,Pultenaea trifida,s,,V,Vickery (1997),,Velzeboer (pers. comm.),,Suitable,Moderate,
FABACEAE,Sphaerolobium gracile,w,,,DBCA (2021),,,,Mostly unsuitable,Low,
FABACEAE,Sphaerolobium medium,w,,,,McDougall (1997),,,Suitable,Low,
FABACEAE,Sphaerolobium vimineum,"n,q,s,t,v,w",,,,Groves et al. (2009),,,Suitable,Low,
FABACEAE,Viminaria juncea,"n,q,s,t,v,w",,,,Groves et al. (2009),Shearer & Crane (unpub. data),,Suitable,Low,
GERANIACEAE,Pelargonium australe,"a,n,q,s,t,v,w",,,,Groves et al. (2009),,,Suitable,Low,
GERANIACEAE,Pelargonium rodneyanum,"n,s,v",,,,Groves et al. (2009),,,Suitable,Low,
GLEICHENIACEAE,Gleichenia dicarpa,"a,n,nt,q,t,v",,,Cahill (pers. comm.),McDougall (pers. comm.),VNPS (1995),,Suitable,Low,
