taxon_name,suggested_name,EPBCA sp. name,EPBCA status,taxon_distribution,EPBCA no.,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes,accepted_name
Germainia capitata,Germainia capitata,Germainia capitata,Vulnerable,Qld,14069,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Germainia capitata
Gingidia rupicola,Gingidia rupicola,Gingidia rupicola,Endangered,NSW,86880,1,"Mountain Angelica, Broad-leafed Carrot",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Gingidia rupicola
Glyceria drummondii,Glyceria drummondii,Glyceria drummondii,Endangered,WA,14008,1,Nangetty Grass,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Glyceria drummondii
Glycine latrobeana,Glycine latrobeana,Glycine latrobeana,Vulnerable,"SA, Vic, Tas",13910,1,"Clover Glycine, Purple Clover",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Glycine latrobeana
Goodenia arthrotricha,Goodenia arthrotricha,Goodenia arthrotricha,Endangered,WA,12448,1,NA,Plant,1,EN,1,NA,2/15/2018,YES,Insufficient info,"EN [B2ab(iii,v)]",not eligible,not eligible,Insufficient info,NA,NA,Goodenia arthrotricha
Goodenia integerrima,Goodenia integerrima,Goodenia integerrima,Vulnerable,WA,55983,1,Gypsum Goodenia,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Goodenia integerrima
Goodenia quadrifida,Goodenia quadrifida,Goodenia quadrifida,Vulnerable,NT,56035,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Goodenia quadrifida
Gossia fragrantissima,Gossia fragrantissima,Gossia fragrantissima,Endangered,"Qld, NSW",78867,1,"Sweet Myrtle, Small-leaved Myrtle",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Gossia fragrantissima
Gossia gonoclada,Gossia gonoclada,Gossia gonoclada,Endangered,Qld,78866,1,Angle-stemmed Myrtle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Gossia gonoclada
Grammosolen odgersii subsp. occidentalis,Grammosolen odgersii subsp. occidentalis,Grammosolen odgersii subsp. Occidentalis,Endangered,NA,14002,0,"Western Woolly Cyphanthera, Western Cyphanthera",Plant,1,EN,1,Cyphanthera odgersii subsp. occidentalis,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,NA
Graptophyllum ilicifolium ,Graptophyllum ilicifolium [alternative possible names: Graptophyllum reticulatum (pro parte misapplied)],Graptophyllum ilicifolium,Vulnerable,Qld,8601,1,"Holly-leaved Graptophyllum, Mt Blackwood Holly",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Graptophyllum ilicifolium
Graptophyllum reticulatum,Graptophyllum reticulatum,Graptophyllum reticulatum,Endangered,Qld,55459,1,Veiny Graptophyllum,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Graptophyllum reticulatum
Grevillea acanthifolia subsp. paludosa,Grevillea acanthifolia subsp. paludosa,Grevillea acanthifolia subsp. paludosa,Endangered,NSW,21872,0,Bog Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea acanthifolia subsp. paludosa
Grevillea acropogon,Grevillea acropogon,Grevillea acropogon,Endangered,WA,68272,1,NA,Plant,1,EN,1,NA,6/24/2019,YES,not eligible,EN [B1ab(iii)+B2ab(iii)],not eligible,VU,Insufficient info,NA,NA,Grevillea acropogon
Grevillea althoferorum,Grevillea althoferorum,Grevillea althoferorum,Endangered,WA,64906,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea althoferorum
Grevillea banyabba,Grevillea banyabba,Grevillea banyabba,Vulnerable,NSW,64677,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea banyabba
Grevillea batrachioides,Grevillea batrachioides,Grevillea batrachioides,Endangered,WA,21735,1,Mt Lesueur Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea batrachioides
Grevillea beadleana,Grevillea beadleana,Grevillea beadleana,Endangered,NSW,22002,1,Beadle's Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea beadleana
Grevillea bedggoodiana,Grevillea bedggoodiana,Grevillea bedggoodiana,Vulnerable,Vic,22004,1,Enfield Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea bedggoodiana
Grevillea brachystylis subsp. australis,Grevillea brachystylis subsp. australis,Grevillea brachystylis subsp. australis,Vulnerable,WA,55525,0,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea brachystylis subsp. australis
Grevillea brachystylis subsp. grandis,Grevillea brachystylis subsp. grandis,Grevillea brachystylis subsp. grandis,Critically Endangered,WA,85001,0,Large-flowered Short-styled Grevillea,Plant,1,CR,1,NA,1/8/2009,YES,EN,CR,EN,EN,Insufficient info,NA,NA,Grevillea brachystylis subsp. grandis
Grevillea bracteosa subsp. howatharra,Grevillea bracteosa subsp. howatharra,Grevillea bracteosa subsp. howatharra,Critically Endangered,WA,85002,0,NA,Plant,1,CR,1,NA,8/15/2017,YES,Insufficient info,CR [B1 (a)(b)(iii)(v)],EN [C1 (a)(i)],VU,Insufficient info,NA,NA,Grevillea bracteosa subsp. howatharra
Grevillea burrowa,Grevillea burrowa,Grevillea burrowa,Critically Endangered,Vic,89099,1,Burrowa Grevillea,Plant,1,CR,1,NA,3/31/2023,YES,Insufficient info,"CR(B1ab(iii,v)+2ab(iii,v))",Insufficient info,VU(D2),Insufficient info,NA,NA,Grevillea burrowa
Grevillea caleyi,Grevillea caleyi,Grevillea caleyi,Critically Endangered,NSW,9683,1,Caley's Grevillea,Plant,1,CR,1,NA,5/11/2018,YES,Insufficient info,"CR [B1 (b) (i) (ii) (iii) (v), (c) (iv)]",VU [C2b],VU,CR,NA,NA,Grevillea caleyi
Grevillea calliantha,Grevillea calliantha,Grevillea calliantha,Endangered,WA,56339,1,"Foote's Grevillea, Cataby Grevillea, Black Magic Grevillea",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea calliantha
Grevillea celata,Grevillea celata,Grevillea celata,Vulnerable,Vic,64907,1,"Colquhoun Grevillea, Nowa Nowa Grevillea",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea celata
Grevillea christineae,Grevillea christineae,Grevillea christineae,Endangered,WA,64520,1,Christine's Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea christineae
Grevillea corrugata,Grevillea corrugata,Grevillea corrugata,Endangered,WA,65445,1,a shrub,Plant,1,EN,1,NA,2/26/2013,YES,Insufficient info,not eligible,not eligible,EN,Insufficient info,NA,NA,Grevillea corrugata
Grevillea curviloba subsp. curviloba,Grevillea curviloba subsp. curviloba,Grevillea curviloba subsp. curviloba,Endangered,WA,64908,0,Curved-leaf Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea curviloba subsp. curviloba
Grevillea curviloba subsp. incurva,Grevillea curviloba subsp. incurva,Grevillea curviloba subsp. incurva,Endangered,WA,64909,0,Narrow curved-leaf Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea curviloba subsp. incurva
Grevillea dryandroides subsp. dryandroides,Grevillea dryandroides subsp. dryandroides,Grevillea dryandroides subsp. dryandroides,Endangered,WA,64646,0,Phalanx Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea dryandroides subsp. dryandroides
Grevillea dryandroides subsp. hirsuta,Grevillea dryandroides subsp. hirsuta,Grevillea dryandroides subsp. hirsuta,Endangered,WA,64577,0,Hairy Phalanx Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea dryandroides subsp. hirsuta
Grevillea elongata,Grevillea elongata,Grevillea elongata,Vulnerable,WA,64578,1,Ironstone Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea elongata
Grevillea evansiana,Grevillea evansiana,Grevillea evansiana,Vulnerable,NSW,22248,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea evansiana
Grevillea flexuosa,Grevillea flexuosa,Grevillea flexuosa,Vulnerable,WA,2957,1,Zig Zag Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea flexuosa
Grevillea floripendula,Grevillea floripendula,Grevillea floripendula,Vulnerable,Vic,16859,1,"Drooping Grevillea, Ben Major Grevillea",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea floripendula
Grevillea glossadenia,Grevillea glossadenia,Grevillea glossadenia,Vulnerable,Qld,7979,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea glossadenia
Grevillea guthrieana,Grevillea guthrieana,Grevillea guthrieana,Endangered,NSW,64521,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea guthrieana
Grevillea hodgei,Grevillea hodgei,Grevillea hodgei,Critically Endangered,Qld,68250,1,Coochin Hills Grevillea,Plant,1,CR,1,NA,12/8/2021,YES,Insufficient info,CR [B1+2ab(i-v)],CR [C2a(i)],CR,Insufficient info,NA,NA,Grevillea hodgei
Grevillea humifusa,Grevillea humifusa,Grevillea humifusa,Endangered,WA,61182,1,Spreading Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea humifusa
Grevillea iaspicula,Grevillea iaspicula,Grevillea iaspicula,Endangered,NSW,22024,1,Wee Jasper Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea iaspicula
Grevillea infecunda,Grevillea infecunda,Grevillea infecunda,Vulnerable,Vic,22026,1,Anglesea Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea infecunda
Grevillea infundibularis,Grevillea infundibularis,Grevillea infundibularis,Endangered,WA,5772,1,Fan-leaf Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea infundibularis
Grevillea involucrata,Grevillea involucrata,Grevillea involucrata,Endangered,WA,4631,1,Lake Varley Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea involucrata
Grevillea jephcottii,Grevillea jephcottii,Grevillea jephcotti,Endangered,Vic,14272,1,Green Grevillea,Plant,1,EN,1,NA,3/31/2023,YES,Insufficient info,"EN(B1ab(iii,v)+2ab(iii,v))",Insufficient info,VU(D2),Insufficient info,NA,NA,Grevillea jephcottii
Grevillea kennedyana,Grevillea kennedyana,Grevillea kennedyana,Vulnerable,"WA, Qld, NSW",6974,1,Flame Spider-flower,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea kennedyana
Grevillea maccutcheonii,Grevillea maccutcheonii,Grevillea maccutcheonii,Endangered,WA,64522,1,McCutcheon's Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea maccutcheonii
Grevillea masonii,Grevillea masonii,Grevillea masonii,Endangered,NSW,64523,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea masonii
Grevillea maxwellii,Grevillea maxwellii,Grevillea maxwellii,Endangered,WA,21745,1,Maxwell's Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea maxwellii
Grevillea mollis,Grevillea mollis,Grevillea mollis,Endangered,NSW,64524,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea mollis
Grevillea molyneuxii,Grevillea molyneuxii,Grevillea molyneuxii,Endangered,NSW,22052,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea molyneuxii
Grevillea montis-cole subsp. brevistyla,Grevillea montis-cole subsp. brevistyla,Grevillea montis-cole subsp. brevistyla,Vulnerable,Vic,17703,0,Langi Ghiran Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea montis-cole subsp. brevistyla
Grevillea murex,Grevillea murex,Grevillea murex,Endangered,WA,22053,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea murex
Grevillea obtusiflora,Grevillea obtusiflora,Grevillea obtusiflora,Endangered,NSW,23811,1,Grey Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea obtusiflora
Grevillea parviflora subsp. parviflora,Grevillea parviflora subsp. parviflora,Grevillea parviflora subsp. parviflora,Vulnerable,NSW,64910,0,Small-flower Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea parviflora subsp. parviflora
Grevillea pythara,Grevillea pythara,Grevillea pythara,Endangered,WA,64525,1,Pythara Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea pythara
Grevillea quadricauda,Grevillea quadricauda,Grevillea quadricauda,Vulnerable,"Qld, NSW",64651,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea quadricauda
Grevillea rara,Grevillea rara,Grevillea rara,Endangered,WA,64911,1,Rare Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea rara
Grevillea raybrownii,Grevillea raybrownii,Grevillea raybrownii,Vulnerable,NSW,65665,1,NA,Plant,1,VU,1,NA,9/25/2020,YES,Insufficient info,"VU(B1ab(iii,v)B2ab(iii,v))",VU (C2a(i),not eligible,Insufficient info,NA,NA,Grevillea raybrownii
Grevillea rhizomatosa,Grevillea rhizomatosa,Grevillea rhizomatosa,Vulnerable,NSW,64678,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea rhizomatosa
Grevillea rivularis,Grevillea rivularis,Grevillea rivularis,Critically Endangered,NSW,2953,1,Carrington Falls Grevillea,Plant,1,CR,1,NA,11/13/2021,YES,Insufficient info,"CR [B1ab(iii,v)+2ab(iii,v)]",EN [C2a(ii)],"VU (D1, D2)",Insufficient info,NA,NA,Grevillea rivularis
Grevillea scapigera,Grevillea scapigera,Grevillea scapigera,Endangered,WA,12195,1,Corrigin Grevillea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea scapigera
Grevillea scortechinii subsp. scortechinii,Grevillea scortechinii subsp. scortechinii,Grevillea scortechinii subsp. scortechinii,Critically Endangered,Qld,4243,0,Black Grevillea,Plant,1,CR,1,NA,12/7/2021,YES,EN (A2c),"CR (B1ab, B2ab)",EN (C1),VU (D2),Insufficient info,NA,NA,Grevillea scortechinii subsp. scortechinii
Grevillea shiressii,Grevillea shiressii,Grevillea shiressii,Vulnerable,NSW,19186,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea shiressii
Grevillea sp. Gillingarra (R.J.Cranfield 4087),Grevillea sp. Gillingarra (R.J.Cranfield 4087),Grevillea sp. Gillingarra (R.J.Cranfield 4087),Critically Endangered,WA,86383,1,NA,Plant,1,CR,1,NA,5/11/2018,YES,not eligible,CR [B1ab(iii)+B2ab(iii)],not eligible,CR,Insufficient info,NA,NA,Grevillea sp. Gillingarra (R.J.Cranfield 4087)
Grevillea thelemanniana,Grevillea thelemanniana,Grevillea thelemanniana,Critically Endangered,WA,32835,1,Spider Net Grevillea,Plant,1,CR,1,NA,2/15/2018,YES,CR [A2ac],"CR [B1ab(i,ii,iii,iv,v)]",not eligible,not eligible,Insufficient info,NA,NA,Grevillea thelemanniana
Grevillea treueriana ,Grevillea treueriana [alternative possible names: Grevillea secunda (pro parte misapplied) | Grevillea spinosa (pro parte misapplied)],Grevillea treueriana,Vulnerable,SA,18950,1,Mt Finke Grevillea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Grevillea treueriana
Grevillea wilkinsonii,Grevillea wilkinsonii,Grevillea wilkinsonii,Critically Endangered,NSW,56396,1,Tumut Grevillea,Plant,1,CR,1,NA,11/13/2021,YES,Insufficient info,"CR [B1ab(iii,v)]","CR [C2a(ii)] {precautionary, lower bound}",EN/VU,Insufficient info,NA,NA,Grevillea wilkinsonii
Guichenotia seorsiflora,Guichenotia seorsiflora,Guichenotia seorsiflora,Critically Endangered,WA,82693,1,NA,Plant,1,CR,1,NA,12/1/2009,YES,not eligible,CR,CR,EN,not eligible,NA,NA,Guichenotia seorsiflora
Gyrostemon reticulatus,Gyrostemon reticulatus,Gyrostemon reticulatus,Critically Endangered,WA,8491,1,Net-veined Gyrostemon,Plant,1,CR,1,NA,8/18/2006,YES,Insufficient info,CR,Insufficient info,EN,Insufficient info,NA,NA,Gyrostemon reticulatus
Habenaria maccraithii,Habenaria maccraithii,Habenaria maccraithii,Endangered,Qld,87197,1,Whiskered Rein Orchid,Plant,1,EN,1,Habenaria macraithii,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Habenaria maccraithii
Hakea aculeata,Hakea aculeata,Hakea aculeata,Vulnerable,WA,11191,1,Column Hakea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea aculeata
Hakea archaeoides,Hakea archaeoides,Hakea archaeoides,Vulnerable,NSW,66702,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea archaeoides
Hakea dohertyi,Hakea dohertyi,Hakea dohertyi,Critically Endangered,NSW,66701,1,Kowmung Hakea,Plant,1,CR,1,NA,11/15/2023,YES,EN (A2a),"CR (B1ab(iii,v))",VU (C1+2a(ii)),not eligible,Insufficient info,NA,NA,Hakea dohertyi
Hakea fraseri ,Hakea fraseri [alternative possible names: Hakea lorea subsp. lorea (pro parte misapplied)],Hakea fraseri,Vulnerable,NSW,16093,1,"Gnarled Corkbark, Fraser's Hakea",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea fraseri
Hakea maconochieana,Hakea maconochieana,Hakea maconochieana,Vulnerable,Qld,66351,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea maconochieana
Hakea macrorrhyncha,Hakea macrorrhyncha,Hakea macrorrhyncha,Endangered,"Qld, NSW",87228,1,Tall Needle Bush,Plant,1,EN,1,NA,11/15/2023,YES,Insufficient info,EN (B2ab(v)c(iv)),VU (C2b),not eligible,Insufficient info,NA,NA,Hakea macrorrhyncha
Hakea megalosperma,Hakea megalosperma,Hakea megalosperma,Vulnerable,WA,10505,1,Lesueur Hakea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea megalosperma
Hakea pulvinifera,Hakea pulvinifera,Hakea pulvinifera,Endangered,NSW,14228,1,Lake Keepit Hakea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea pulvinifera
Hakea trineura ,Hakea trineura [alternative possible names: Hakea archaeoides (pro parte misapplied)],Hakea trineura,Vulnerable,Qld,15931,1,Three-veined Hakea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hakea trineura
Haloragis exalata subsp. exalata,Haloragis exalata subsp. exalata,Haloragis exalata subsp. exalata,Vulnerable,"NSW, Vic",24636,0,"Wingless Raspwort, Square Raspwort",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Haloragis exalata subsp. exalata
Haloragis exalata subsp. velutina,Haloragis exalata subsp. velutina,Haloragis exalata subsp. velutina,Vulnerable,"Qld, NSW",16839,0,Tall Velvet Sea-berry,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Haloragis exalata subsp. velutina
Haloragis eyreana,Haloragis eyreana,Haloragis eyreana,Endangered,SA,8737,1,Prickly Raspwort,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Haloragis eyreana
Haloragis platycarpa,Haloragis platycarpa,Haloragis platycarpa,Critically Endangered,WA,15371,1,Broad-fruited Haloragis,Plant,1,CR,1,NA,8/18/2006,YES,Insufficient info,CR,Insufficient info,CR,Insufficient info,NA,NA,Haloragis platycarpa
Haloragodendron lucasii,Haloragodendron lucasii,Haloragodendron lucasii,Endangered,NSW,6480,1,Hal,Plant,1,EN,1,Glischrocaryon lucasii,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Haloragodendron lucasii
Helichrysum calvertianum,Helichrysum calvertianum,Helichrysum calvertianum,Vulnerable,NSW,5702,1,NA,Plant,1,VU,1,NA,9/25/2020,YES,Insufficient info,"VU (B1ab(iii,v), B2ab(iii,v))",VU (C2a(i)),not eligible,Insufficient info,NA,NA,Helichrysum calvertianum
Helicteres macrothrix,Helicteres macrothrix,Helicteres macrothrix,Endangered,NT,86586,1,NA,Plant,1,EN,1,Helicteres sp. Glenluckie Creek,8/18/2006,YES,not eligible,EN,not eligible,not eligible,Insufficient info,NA,NA,Helicteres macrothrix
Hemiandra gardneri,Hemiandra gardneri,Hemiandra gardneri,Endangered,WA,7945,1,Red Snakebush,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hemiandra gardneri
Hemiandra rutilans,Hemiandra rutilans,Hemiandra rutilans,Endangered,WA,17932,1,"Sargents Snakebush, Colourful Snakebush",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hemiandra rutilans
Hemigenia ramosissima ,Hemigenia ramosissima [alternative possible names: Hemigenia pritzelii (pro parte misapplied) | Hemigenia rigida (pro parte misapplied)],Hemigenia ramosissima,Critically Endangered,WA,18568,1,Branched Hemigenia,Plant,1,CR,1,NA,6/11/2009,YES,not eligible,CR,EN,VU,not eligible,NA,NA,Hemigenia ramosissima
Hensmania chapmanii,Hensmania chapmanii,Hensmania chapmanii,Vulnerable,WA,10481,1,Chapman's Hensmania,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hensmania chapmanii
Hexaspora pubescens,Hexaspora pubescens,Hexaspora pubescens,Vulnerable,Qld,3384,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hexaspora pubescens
Hibbertia abyssus,Hibbertia abyssus,Hibbertia abyssus,Critically Endangered,WA,89267,1,Bandalup Buttercup,Plant,1,CR,1,NA,12/7/2016,YES,EN [A1 (c)],"CR [B1, B2 (a)(b)(ii)(iii)]",not eligible,not eligible,not eligible,NA,NA,Hibbertia abyssus
Hibbertia acaulothrix,Hibbertia acaulothrix,Hibbertia acaulothrix,Endangered,NSW,87409,1,NA,Plant,1,EN,1,NA,9/7/2023,YES,Insufficient info,EN (B2ab(iii)),Insufficient info,Insufficient info,Insufficient info,NA,NA,Hibbertia acaulothrix
Hibbertia basaltica,Hibbertia basaltica,Hibbertia basaltica,Endangered,Tas,81675,1,Basalt Guinea-flower,Plant,1,EN,1,NA,11/26/2008,YES,not eligible,EN,EN,not eligible,not eligible,NA,NA,Hibbertia basaltica
Hibbertia carinata,Hibbertia carinata,Hibbertia circinata,Critically Endangered,WA,89832,1,NA,Plant,1,CR,1,NA,11/13/2021,YES,Insufficient info,CR [B1+a+b(iii) and B2+a+b(iii)],CR [C2 a (ii)],EN (D1),Insufficient info,NA,NA,Hibbertia carinata
Hibbertia cistiflora subsp. quadristaminea,Hibbertia cistiflora subsp. quadristaminea,Hibbertia cistiflora subsp. quadristaminea,Endangered,NSW,91164,0,NA,Plant,1,EN,1,NA,9/7/2023,YES,Insufficient info,EN (B1ab(iii)+2ab(iii)),not eligible,not eligible,Insufficient info,NA,NA,Hibbertia cistiflora subsp. quadristaminea
Hibbertia crispula,Hibbertia crispula,Hibbertia crispula,Vulnerable,"WA, SA",15222,1,Ooldea Guinea-flower,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hibbertia crispula
Hibbertia humifusa subsp. debilis,Hibbertia humifusa subsp. debilis,Hibbertia humifusa subsp. debilis,Vulnerable,Vic,64917,0,Dergholm Guinea-flower,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hibbertia humifusa subsp. debilis
Hibbertia humifusa subsp. erigens,Hibbertia humifusa subsp. erigens,Hibbertia humifusa subsp. erigens,Vulnerable,Vic,64918,0,Euroa Guinea-flower,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hibbertia humifusa subsp. erigens
Hibbertia marginata,Hibbertia marginata,Hibbertia marginata,Vulnerable,NSW,21970,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Hibbertia marginata
Hibbertia praemorsa,Hibbertia praemorsa,Hibbertia praemorsa,Endangered,NSW,86346,1,Bundanoon Guinea-flower,Plant,1,EN,1,NA,9/7/2023,YES,Insufficient info,"EN (B1ab(iii,v)+B2ab(iii,v))",EN (C1+C2a(i)),VU,Insufficient info,NA,NA,Hibbertia praemorsa
Hibbertia priceana,Hibbertia priceana,Hibbertia priceana,Critically Endangered,WA,82694,1,NA,Plant,1,CR,1,NA,6/11/2009,YES,not eligible,CR,EN,VU,not eligible,NA,NA,Hibbertia priceana
Hibbertia puberula subsp. glabrescens,Hibbertia puberula subsp. glabrescens,Hibbertia puberula subsp. glabrescens,Critically Endangered,NSW,86645,0,NA,Plant,1,CR,1,NA,1/16/2009,YES,not eligible,CR,CR,CR,not eligible,NA,NA,Hibbertia puberula subsp. glabrescens
Hibbertia barrettiae,Hibbertia barrettiae,Hibbertia sp. Toolbrunup (J.R. Wheeler 2504),Critically Endangered,WA,89455,1,NA,Plant,1,CR,1,Hibbertia barrettiae,6/24/2019,YES,Insufficient info,CR [B1ab(v)+2ab(v)],CR [C2a(i)],CR,Insufficient info,NA,NA,Hibbertia barrettiae
Hibbertia spanantha,Hibbertia spanantha,Hibbertia spanantha,Critically Endangered,NSW,88475,1,Julian's Hibbertia,Plant,1,CR,1,NA,12/7/2016,YES,Insufficient info,"CR [B1 and (a), (b)(iii & v)]",CR [C2(a)(i)],CR,Insufficient info,NA,NA,Hibbertia spanantha
Hibbertia tenuis,Hibbertia tenuis,Hibbertia tenuis,Critically Endangered,SA,76189,1,NA,Plant,1,CR,1,NA,8/19/2010,YES,not eligible,CR,CR,CR,not eligible,NA,NA,Hibbertia tenuis
