taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Eucalyptus macrocarpa,"white or grey sand or sandy loam over laterite. hillslopes, ridges, sandplains.", white or grey sand or sandy loam over laterite hillslopes ridges sandplainss ,,,,,,,,,hills ridges,hills ridges,sandplain,sandplains,grey white,grey white,lateritic,laterite,loam sand,loam sand sandy,,
Eucalyptus mannensis,red or yellow sand. sand dunes & undulating sandplains., red or yellow sand sanddunes  undulating sandplainss ,,,,,,,,,undulating,undulating,sanddunes sandplain,sanddunes sandplains,red yellow,red yellow,,,sand,sand,,
Eucalyptus marginata,"grey sand, clay or sandy loam, laterite. hills, rises.", grey sand clay or sandy loam laterite hills rises ,,,,,,,,,hills,hills,,,grey,grey,lateritic,laterite,clay loam sand,clay loam sand sandy,,
Eucalyptus megacarpa,"sand, sandy loam, limestone. hills, near swamps & streams.", sand sandy loam limestone hills near swamps  streams ,,,,,,,wet,swamps,hills,hills,streams swamp,streams swamps,,,limestone,limestone,loam sand,loam sand sandy,,
Eucalyptus megacornuta,"loam over laterite, alluvium, granitic soils. hillsides, creek beds.", loam over laterite alluvium granitic soils hillsides creek beds ,,,,,,,,,hills,hills hillsides,streams,creek,,,alluvial granitic lateritic,alluvium granitic laterite,loam,loam,,
Eucalyptus melanoxylon,"sand, clay loam. depressions, flats.", sand clay loam depressions flats ,,,,,,,,,depressions flats,depressions flats,,,,,,,clay loam sand,clay loam sand,,
Eucalyptus merrickiae,"sandy clay, grey sand. near salt lakes.", sandyclay grey sand near saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,grey,grey,,,sand clay_sandy,sand sandyclay,,
Eucalyptus micranthera,"white, yellow or grey sand, sometimes over laterite. flats or slightly undulating country.", white yellow or grey sand sometimes over laterite flats or slightly undulating country ,,,,,,,,,flats undulating,flats undulating,,,grey white yellow,grey white yellow,lateritic,laterite,sand,sand,,
Eucalyptus microtheca,"clay. seasonally waterlogged flats, along watercourses, swamps.", clay seasonally waterlogged flats along watercourses swamps ,,,,,,,wet,swamps waterlogged,flats watercourses,flats watercourses,streambanks swamp streams,watercourses swamps watercourses,,,,,clay,clay,,
Eucalyptus miniata,"sandy soils over sandstone or quartzite. plains, rocky hills.", sandy soils over sandstone or quartzite plainss rocky hills ,,,,,,,,,hills plains,hills plainss,plains,plains,,,quartzite sandstone,quartzite sandstone,soil_rocky sand,rocky sands sandy,,
Eucalyptus mooreana,red sand over sandstone. rocky steep slopes., redsand over sandstone rocky steepslopes ,,,,,,,,,slopes_steep,steepslopes,,,red,reds,sandstone,sandstone,sand_red soil_rocky sand,redsand rocky sands,,
Eucalyptus myriadena,"clay, often saline, sandy clay, gravelly loam. near salt lakes, swamps, low rises, plains.", clay often saline sandyclay gravelly loam near saltlakes swamps low rises plainss ,,,,,,,wet,swamps,plains,plainss,lakes_salt plains swamp,saltlakes plains swamps,,,saline,saline,clay gravel loam clay_sandy,clay gravelly loam sandyclay,,
Eucalyptus newbeyi,"sandy clay, loam. steep spongolite valley sides & cliffs forming river banks.", sandyclay loam steep spongolite valley sides  cliffs forming riverbanks ,,,,,,,,,cliff valley,cliffs valley,streambanks cliffs,riverbanks riverbanks cliffs cliffs,,,,,loam clay_sandy,loam sandyclay,,
Eucalyptus normantonensis,"shallow sand and gravel, red sandy loam. flats, gently undulating areas, drainage lines in low open woodlands.", shallow sand and gravel redsandy loam flats gently undulating areas drainage lines in low openwoodlands ,,,,,,,,,flats undulating,flats undulating,woodland_open,openwoodlands openwoodlands,red,reds,,,gravel loam sand,gravel loam sand,,
Eucalyptus nutans,grey clay. in broad depressions., grey clay in broad depressions ,,,,,,,,,depressions,depressions,,,grey,grey,,,clay,clay,,
Eucalyptus obtusiflora,sand & loam. interdunal hollows., sand  loam interdunal hollows ,,,,,,,,,,,,,,,,,loam sand,loam sand,,
Eucalyptus occidentalis,"sandy or clayey soils. alluvial flats, low-lying wet areas, around salt lakes, hills.", sandy or clayey soils alluvial flats lowlying wet areas around saltlakes hills ,,,,,,,wet,wet,flats hills,flats hills,lakes_salt,saltlakes,,,alluvial,alluvial,clay sand,clayey sandy,,
Eucalyptus odontocarpa,"red sand or loam. sandplains, hills.", redsand or loam sandplainss hills ,,,,,,,,,hills,hills,sandplain,sandplains,red,reds,,,sand_red loam,redsand loam,,
Eucalyptus oldfieldii,"red or yellow sand, red loam, rocky soils, ironstone. sandplains & ridges, rocky slopes of ranges.", red or yellow sand red loam rockysoils ironstone sandplainss  ridges rockyslopes of ranges ,,,,,,,,,slopes_rocky ridges,rockyslopes ridges,sandplain,sandplains,red yellow,red yellow,iron,irons,soil_rocky loam sand,rockysoils loam rockys sand,,
Eucalyptus oleosa,"sandy or loam soils, limestone. sub-coastal regions, flats, plains, desert sandhills, gravl pits.", sandy or loam soils limestone subcoastal regions flats plainss desert sandhills gravl pits ,,,,,,,,,flats plains,flats plainss,plains sandhills,plains sandhills,,,limestone,limestone,loam sand,loam sandy,,
Eucalyptus oligantha,"sandy loam, clay, alluvium. open sites, near creeks.", sandy loam clay alluvium open sites nearcreeks ,,,,,,,,,,,streambanks,nearcreeks,,,alluvial,alluvium,clay loam sand,clay loam sandy,,
Eucalyptus oraria,"red or white sand. coastal & subcoastal areas, often associated with limestone.", red or white sand coastal  subcoastal areas often associated with limestone ,,,,,,,,,coastal,coastal,,,red white,red white,limestone,limestone,sand,sand,,
Eucalyptus orbifolia,"red sand or sandy clay, shallow soils over granite. outcrops.", redsand or sandyclay shallowsoils over granite outcrops ,,,,,,,,,rocky_outcrop,outcrops,,,red,reds,granitic,granite,sand_red soil_shallow clay_sandy,redsand shallowsoils sandyclay,,
Eucalyptus ornata,laterite. ridges., laterite ridges ,,,,,,,,,ridges,ridges,,,,,lateritic,laterite,,,,
Eucalyptus ovularis,yellow or red sand or loam over limestone. plains., yellow or redsand or loam over limestone plainss ,,,,,,,,,plains,plainss,plains,plains,red yellow,reds yellow,limestone,limestone,sand_red loam,redsand loam,,
Eucalyptus oxymitra,"red sand. sand dunes, low hills.", redsand sanddunes low hills ,,,,,,,,,hills,hills,sanddunes,sanddunes,red,reds,,,sand_red,redsand,,
Eucalyptus pachyloma,"sandy soils. sandplains, foothills.", sandy soils sandplainss foothills ,,,,,,,,,,,sandplain,sandplains,,,,,sand,sandy,,
Eucalyptus pachyphylla,"red sand. sandplains, sand dunes, rocky slopes.", redsand sandplainss sanddunes rockyslopes ,,,,,,,,,slopes_rocky,rockyslopes,sanddunes sandplain,sanddunes sandplains,red,reds,,,sand_red soil_rocky,redsand rockys,,
Eucalyptus patens,"gravelly soils, sandy clay, loam. depressions, stream banks, valleys.", gravelly soils sandyclay loam depressions streambank valleys ,,,,,,,,,depressions streambanks valley,depressions streambank valleys streambank,streambanks,streambank streambank,,,,,gravel loam clay_sandy,gravelly loam sandyclay,,
Eucalyptus pendens,"white or grey sand with lateritic gravel. hillsides, breakaways, sandplains.", white or grey sand with lateritic gravel hillsides breakaways sandplainss ,,,,,,,,,breakaways hills,breakaways hills hillsides,sandplain,sandplains,grey white,grey white,lateritic,lateritic,gravel sand,gravel sand,,
Eucalyptus petraea,granitic soils. granite outcrops., granitic soils granite outcrops ,,,,,,,,,rocky_outcrop,outcrops,,,,,granitic,granite granitic,,,,
Eucalyptus phoenicea,sand. sandstone hills or outcrops., sand sandstone hills or outcrops ,,,,,,,,,hills rocky_outcrop,hills outcrops,,,,,sandstone,sandstone,sand,sand,,
Eucalyptus pilbarensis,"skeletal soils over ironstone, shale. gullies, rocky screes.", skeletal soils over ironstone shale gullies rocky screes ,,,,,,,,,gullies rocky,gullies screes,rocky,screes screes,,,iron shale,irons shale,soil_rocky skeletal,rocky skeletal,,
Eucalyptus pileata,"red sand, red sandy or stony loam, ironstone, granite. sandplains, rock outcrops.", redsand redsandy or stony loam ironstone granite sandplainss rock outcrops ,,,,,,,,,rocky_outcrop,outcrops,sandplain,sandplains,red,reds,granitic iron,granite irons,sand_red loam stony,redsand loam stony,,
Eucalyptus pimpiniana,red sand. sand dunes & plains., redsand sanddunes  plainss ,,,,,,,,,plains,plainss,sanddunes plains,sanddunes plains,red,reds,,,sand_red,redsand,,
Eucalyptus platycorys,"white, yellow or red sand, sandy loam, sometimes with gravel. undulating plains, sand dunes, near salt lakes.", white yellow or redsand sandy loam sometimes with gravel undulating plainss sanddunes near saltlakes ,,,,,,,,,plains undulating,plainss undulating,lakes_salt sanddunes plains,saltlakes sanddunes plains,red white yellow,reds white yellow,,,sand_red gravel loam sand,redsand gravel loam sandy,,
Eucalyptus platypus,"sandy soils, loamy clay, laterite. plains, hilly and rocky country.", sandy soils loamy clay laterite plainss hilly and rocky country ,,,,,,,,,hills plains,hilly plainss,plains,plains,,,lateritic,laterite,clay loam soil_rocky sand,clay loamy rocky sandy,,
Eucalyptus preissiana,"sand, sandy clay or gravel, laterite, limestone. coastal & subcoastal areas.", sand sandyclay or gravel laterite limestone coastal  subcoastal areas ,,,,,,,,,coastal,coastal,,,,,lateritic limestone,laterite limestone,gravel sand clay_sandy,gravel sand sandyclay,,
Eucalyptus prominens,"calcareous loam, limestone. stony sites.", calcareous loam limestone stony sites ,,,,,,,,,,,,,,,calcareous limestone,calcareous limestone,loam stony,loam stony,,
Eucalyptus pruinosa,"sandy soils. low-lying flats, low limestone hills.", sandy soils lowlying flats low limestone hills ,,,,,,,,,flats hills,flats hills,,,,,limestone,limestone,sand,sandy,,
Eucalyptus pterocarpa,"red-brown sandy loam, yellow-brown silty loam. creek edges, rocky slopes.", redbrown sandy loam yellowbrown silty loam creek edges rockyslopes ,,,,,,,,,slopes_rocky,rockyslopes,streams,creek,,,,,loam soil_rocky sand silt,loam rockys sandy silty,,
Eucalyptus pyriformis,"white, grey or yellow sand, laterite. plains, hillslopes.", white grey or yellow sand laterite plainss hillslopes ,,,,,,,,,hills plains,hills plainss,plains,plains,grey white yellow,grey white yellow,lateritic,laterite,sand,sand,,
Eucalyptus pyrophora,skeletal sand on sandstone. rocky slopes & cliffs., skeletal sand on sandstone rockyslopes  cliffs ,,,,,,,,,slopes_rocky cliff,rockyslopes cliffs,cliffs,cliffs cliffs,,,sandstone,sandstone,soil_rocky sand skeletal,rockys sand skeletal,,
Eucalyptus rameliana,"red sand with outcropping sandstone. sand dunes, swales.", redsand with outcropping sandstone sanddunes swales ,,,,,,,,,swales,swales,sanddunes,sanddunes,red,reds,sandstone,sandstone,sand_red sand,redsand sands,,
Eucalyptus redunca,sandy clay or white sand over laterite. undulating low ridges., sandyclay or white sand over laterite undulating low ridges ,,,,,,,,,ridges undulating,ridges undulating,,,white,white,lateritic,laterite,sand clay_sandy,sand sandyclay,,
Eucalyptus rhodantha,"sand or sandy loam, laterite. undulating country, hillslopes.", sand or sandy loam laterite undulating country hillslopes ,,,,,,,,,hills undulating,hills undulating,,,,,lateritic,laterite,loam sand,loam sand sandy,,
Eucalyptus rigidula,yellow or red sand. undulating sandplains., yellow or redsand undulating sandplainss ,,,,,,,,,undulating,undulating,sandplain,sandplains,red yellow,reds yellow,,,sand_red,redsand,,
Eucalyptus roycei,red calcareous sand. sandplains., red calcareous sand sandplainss ,,,,,,,,,,,sandplain,sandplains,red,red,calcareous,calcareous,sand,sand,,
Eucalyptus rudis,"sandy or loam soils. wetter parts of south-western wa, flats, hillsides.", sandy or loam soils wetter parts of southwestern wa flats hillsides ,,,,,,,,,flats hills,flats hills hillsides,,,,,,,loam sand,loam sandy,,
Eucalyptus rugosa,sandy or clayey soils over limestone. coastal & subcoastal areas., sandy or clayey soils over limestone coastal  subcoastal areas ,,,,,,,,,coastal,coastal,,,,,limestone,limestone,clay sand,clayey sandy,,
Eucalyptus rupestris,sandy soils. sandstone outcrops., sandy soils sandstone outcrops ,,,,,,,,,rocky_outcrop,outcrops,,,,,sandstone,sandstone,sand,sands sandy,,
Eucalyptus salmonophloia,"red clay loam or clay, red sand, often with gravel. plains & low hills.", redclay loam or clay redsand often with gravel plainss  low hills ,,,,,,,,,hills plains,hills plainss,plains,plains,red,reds,,,clay_red sand_red clay gravel loam,redclay redsand clay gravel loam,,
Eucalyptus salubris,"red clay loam or loam, yellow or red sand, laterite. undulating plains, slopes.", redclay loam or loam yellow or redsand laterite undulating plainss slopes ,,,,,,,,,plains slopes undulating,plainss slopes undulating,plains,plains,red yellow,reds yellow,lateritic,laterite,clay_red sand_red loam,redclay redsand loam,,
Eucalyptus sargentii,"yellow sand, sandy clay or clay, grey loam. salt swamps & flats, along creek lines, flood plains, drainage lines.", yellow sand sandyclay or clay grey loam salt swamps  flats alongcreeks lines flood plainss drainage lines ,,,,,,,wet,swamps,flats plains streambanks,flats plainss alongcreeks,streambanks plains swamp,alongcreeks plains swamps,grey yellow,grey yellow,saline,salt,clay loam sand clay_sandy,clay loam sand sandyclay,,
Eucalyptus sepulcralis,skeletal sand over quartzite. hillslopes., skeletal sand over quartzite hillslopes ,,,,,,,,,hills,hills,,,,,quartzite,quartzite,sand skeletal,sand skeletal,,
Eucalyptus sessilis,stony slopes., stony slopes ,,,,,,,,,slopes,slopes,,,,,,,stony,stony,,
Eucalyptus sheathiana,sandy or lateritic soils. plains., sandy or lateritic soils plainss ,,,,,,,,,plains,plainss,plains,plains,,,lateritic,lateritic,sand,sandy,,
Eucalyptus socialis,"red-grey loam, limestone. calcareous flats, stony screes.", redgrey loam limestone calcareous flats stony screes ,,,,,,,,,flats rocky,flats screes,rocky,screes screes,,,calcareous limestone,calcareous limestone,loam stony,loam stony,,
Eucalyptus sparsa,red sand. sand dunes., redsand sanddunes ,,,,,,,,,,,sanddunes,sanddunes,red,reds,,,sand_red,redsand,,
Eucalyptus spathulata,"grey-white sand, pale brown sandy clay over granite, saline soils. flats, broad valley floors, saline depressions, edges salt lakes, rises.", greywhite sand pale brown sandyclay over granite saline soils flats broad valley floors saline depressions edges saltlakes rises ,,,,,,,,,depressions flats valley,depressions flats valley,lakes_salt,saltlakes,brown,brown,granitic saline,granite saline,sand clay_sandy,sand sandyclay,,
Eucalyptus staeri,"sandy soils, laterite. low dunes, hills, near swamps.", sandy soils laterite low dunes hills near swamps ,,,,,,,wet,swamps,hills,hills,sanddunes swamp,dunes swamps,,,lateritic,laterite,sand,sandy,,
Eucalyptus steedmanii,"gravelly loam over ironstone, sand. low hills, undulating plains.", gravelly loam over ironstone sand low hills undulating plainss ,,,,,,,,,hills plains undulating,hills plainss undulating,plains,plains,,,iron,irons,gravel loam sand,gravelly loam sand,,
Eucalyptus stowardii,"gravelly loam, sandy soils. stony rises, limestone hills, roadverges.", gravelly loam sandy soils stony rises limestone hills roadverges ,,,,,,,,,hills,hills,disturbed,roadverges,,,limestone,limestone,gravel loam sand stony,gravelly loam sandy stony,,
Eucalyptus striaticalyx,"white to brown, powdery loams. kopi dunes near salt lakes, drainage lines, low hills.", white to brown powdery loams kopi dunes near saltlakes drainage lines low hills ,,,,,,,,,hills,hills,lakes_salt sanddunes,saltlakes dunes,brown white,brown white,,,loam,loams,,
Eucalyptus stricklandii,"gravelly soils. stony hillsides, ridges.", gravelly soils stony hillsides ridges ,,,,,,,,,hills ridges,hills hillsides ridges,,,,,,,gravel stony,gravelly stony,,
Eucalyptus suberea,grey sand. near or on lateritic breakaways., grey sand near or on lateritic breakaways ,,,,,,,,,breakaways,breakaways,,,grey,grey,lateritic,lateritic,sand,sand,,
Eucalyptus synandra,sandy & lateritic soils., sandy  lateritic soils ,,,,,,,,,,,,,,,lateritic,lateritic,sand,sandy,,
Eucalyptus talyuberlup,"sandy soils, often stony, clay loam. hillsides.", sandy soils often stony clay loam hillsides ,,,,,,,,,hills,hills hillsides,,,,,,,clay loam sand stony,clay loam sandy stony,,
Eucalyptus tectifica,"skeletal sandy soils over sandstone, quartzite or basalt, alluvium. hillsides, along creek.", skeletal sandy soils over sandstone quartzite or basalt alluvium hillsides alongcreeks ,,,,,,,,,hills streambanks,hills hillsides alongcreeks,streambanks,alongcreeks,,,alluvial basaltic quartzite sandstone,alluvium basalt quartzite sandstone,sand skeletal,sands sandy skeletal,,
Eucalyptus tetraptera,"white or grey sand. coastal & subcoastal sandplains, granite outcrops.", white or grey sand coastal  subcoastal sandplainss granite outcrops ,,,,,,,,,coastal rocky_outcrop,coastal outcrops,sandplain,sandplains,grey white,grey white,granitic,granite,sand,sand,,
Eucalyptus tetrodonta,"sandy soils on sandstone, laterite or quartzite. flats, plateaus.", sandy soils on sandstone laterite or quartzite flats plateaus ,,,,,,,,,flats plateaus,flats plateaus,,,,,lateritic quartzite sandstone,laterite quartzite sandstone,sand,sands sandy,,
Eucalyptus todtiana,"white/grey or yellow sand, often over laterite. coastal sandplains.", whitegrey or yellow sand often over laterite coastal sandplainss ,,,,,,,,,coastal,coastal,sandplain,sandplains,yellow,yellow,lateritic,laterite,sand,sand,,
Eucalyptus torquata,"stony loam or clay, red sand. hillsides.", stony loam or clay redsand hillsides ,,,,,,,,,hills,hills hillsides,,,red,reds,,,sand_red clay loam stony,redsand clay loam stony,,
Eucalyptus transcontinentalis,"red sand, red sandy loam, calcareous loam, brown clay loam. flats, low hills.", redsand redsandy loam calcareous loam brown clay loam flats low hills ,,,,,,,,,flats hills,flats hills,,,brown red,brown reds,calcareous,calcareous,sand_red clay loam,redsand clay loam,,
Eucalyptus uncinata,"sandy soils. coastal & near-coastal sandplains, low hills.", sandy soils coastal  nearcoastal sandplainss low hills ,,,,,,,,,coastal hills,coastal hills,sandplain,sandplains,,,,,sand,sandy,,
Eucalyptus wandoo,"sandy loam, clay loam, gravel, laterite, granite. stony rises, undulating terrain.", sandy loam clay loam gravel laterite granite stony rises undulating terrain ,,,,,,,,,undulating,undulating,,,,,granitic lateritic,granite laterite,clay gravel loam sand stony,clay gravel loam sandy stony,,
Eucalyptus websteriana,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus woodwardii,"red sand. rises, flats.", redsand rises flats ,,,,,,,,,flats,flats,,,red,reds,,,sand_red,redsand,,
Eucalyptus xanthonema,sandy loam. lateritic rises., sandy loam lateritic rises ,,,,,,,,,,,,,,,lateritic,lateritic,loam sand,loam sandy,,
Eucalyptus yalatensis,sandy soils over limestone. coastal & near-coastal areas., sandy soils over limestone coastal  nearcoastal areas ,,,,,,,,,coastal,coastal,,,,,limestone,limestone,sand,sandy,,
Eucalyptus yilgarnensis,red sandy soils. sandplains & rises., redsandy soils sandplainss  rises ,,,,,,,,,,,sandplain,sandplains,red,reds,,,,,,
Eucalyptus youngiana,red sand & sandy loam. undulating plains & rises., redsand  sandy loam undulating plainss  rises ,,,,,,,,,plains undulating,plainss undulating,plains,plains,red,reds,,,sand_red loam sand,redsand loam sandy,,
Eugenia reinwardtiana,,,,,,,,,,,,,,,,,,,,,,
Homalocalyx aureus,"yellow or red sand, laterite. sandplains.", yellow or redsand laterite sandplainss ,,,,,,,,,,,sandplain,sandplains,red yellow,reds yellow,lateritic,laterite,sand_red,redsand,,
Homalocalyx chapmanii,"yellow or grey/brown sand. undulating plains, weathered granite.", yellow or greybrown sand undulating plainss weathered granite ,,,,,,,,,plains undulating,plainss undulating,plains,plains,yellow,yellow,granitic,granite,sand,sand,,
Homalocalyx coarctatus,yellow sand. sandplains., yellow sand sandplainss ,,,,,,,,,,,sandplain,sandplains,yellow,yellow,,,sand,sand,,
Homalocalyx echinulatus,"laterite. breakaways, sandstone hills.", laterite breakaways sandstone hills ,,,,,,,,,breakaways hills,breakaways hills,,,,,lateritic sandstone,laterite sandstone,sand,sands,,
Homalocalyx ericaeus,shallow soils. sandstone plateaus., shallowsoils sandstone plateaus ,,,,,,,,,plateaus,plateaus,,,,,sandstone,sandstone,soil_shallow sand,shallowsoils sands,,
Homalocalyx grandiflorus,yellow sand. sandplains., yellow sand sandplainss ,,,,,,,,,,,sandplain,sandplains,yellow,yellow,,,sand,sand,,
Homalocalyx inerrabundus,"yellow sand, sandy loam.", yellow sand sandy loam ,,,,,,,,,,,,,yellow,yellow,,,loam sand,loam sand sandy,,
Homalocalyx pulcherrimus,yellow sand. sandplains., yellow sand sandplainss ,,,,,,,,,,,sandplain,sandplains,yellow,yellow,,,sand,sand,,
Homalocalyx staminosus,rocky sandstone ridges., rocky sandstone ridges ,,,,,,,,,ridges,ridges,,,,,sandstone,sandstone,soil_rocky sand,rocky sands,,
Homalocalyx thryptomenoides,yellow or red sand. sandplains., yellow or redsand sandplainss ,,,,,,,,,,,sandplain,sandplains,red yellow,reds yellow,,,sand_red,redsand,,
Homalospermum firmum,"white, grey, yellow or black peaty sand, loam. winter-wet depressions, swamps.", white grey yellow or black peaty sand loam winterwet depressions swamps ,,,,,,,wet winterwet,swamps winterwet,depressions,depressions,swamp,swamps,black grey white yellow,black grey white yellow,,,loam peat sand,loam peaty sand,,
Hypocalymma angustifolium,"grey to white sand, peaty soils, sandy clay, sandstone. flats, swamps, along watercourses, near permanent fresh-water springs, outcrops, hillsides.", grey to white sand peaty soils sandyclay sandstone flats swamps along watercourses near permanent freshwater springs outcrops hillsides ,,,,,,,wet,swamps,flats hills rocky_outcrop watercourses,flats hills hillsides outcrops watercourses,streambanks swamp streams,watercourses swamps watercourses,grey white,grey white,sandstone,sandstone,peat sand clay_sandy,peaty sand sandyclay,,
Hypocalymma cordifolium,"sand, sandy loam, peaty sand, granite, laterite. along watercourses, seasonally wet flats.", sand sandy loam peaty sand granite laterite along watercourses seasonally wet flats ,,,,,,,wet,wet,flats watercourses,flats watercourses,streambanks streams,watercourses watercourses,,,granitic lateritic,granite laterite,loam peat sand,loam peaty sand sandy,,
Hypocalymma ericifolium,grey/black sand. seasonally wet flats., greyblack sand seasonally wet flats ,,,,,,,wet,wet,flats,flats,,,,,,,sand,sand,,
Hypocalymma linifolium,sand., sand ,,,,,,,,,,,,,,,,,sand,sand,,
Hypocalymma longifolium,"grey sand or clay, sandstone. rocky breakaways, swampland.", grey sand or clay sandstone rocky breakaways swampland ,,,,,,,,,breakaways,breakaways,swamp,swampland,grey,grey,sandstone,sandstone,clay soil_rocky sand,clay rocky sand,,
Hypocalymma myrtifolium,peaty sand over quartzite. steep rocky slopes., peaty sand over quartzite steep rockyslopes ,,,,,,,,,slopes_rocky,rockyslopes,,,,,quartzite,quartzite,peat soil_rocky sand,peaty rockys sand,,
Hypocalymma phillipsii,"black peaty sand, loam. hillslopes.", black peaty sand loam hillslopes ,,,,,,,,,hills,hills,,,black,black,,,loam peat sand,loam peaty sand,,
Hypocalymma puniceum,gravelly sand or loam., gravelly sand or loam ,,,,,,,,,,,,,,,,,gravel loam sand,gravelly loam sand,,
Hypocalymma robustum,"gravelly lateritic soils, sandy soils. undulating terrain, ridges.", gravelly lateritic soils sandy soils undulating terrain ridges ,,,,,,,,,ridges undulating,ridges undulating,,,,,lateritic,lateritic,gravel sand,gravelly sandy,,
Hypocalymma speciosum,"laterite, clay, sand. rocky slopes.", laterite clay sand rockyslopes ,,,,,,,,,slopes_rocky,rockyslopes,,,,,lateritic,laterite,clay soil_rocky sand,clay rockys sand,,
Hypocalymma strictum,"sand. sandplains, low-lying flats.", sand sandplainss lowlying flats ,,,,,,,,,flats,flats,sandplain,sandplains,,,,,sand,sand,,
Hypocalymma tetrapterum,"grey sand, loam, lateritic gravel. riverbanks, breakaways.", grey sand loam lateritic gravel riverbankss breakaways ,,,,,,,,,breakaways,breakaways,streambanks,riverbankss riverbanks,grey,grey,lateritic,lateritic,gravel loam sand,gravel loam sand,,
Hypocalymma xanthopetalum,"grey, white or yellow sand over laterite. undulating plains, sandy clay flats, sandheaths, open woodland.", grey white or yellow sand over laterite undulating plainss sandyclay flats sandheaths openwoodland ,,,,,,,,,flats plains undulating,flats plainss undulating,woodland_open plains,openwoodland openwoodland plains,grey white yellow,grey white yellow,lateritic,laterite,sand clay_sandy,sand sandyclay,,
Kunzea affinis,"sand or clay over granite, loam. granite outcrops.", sand or clay over granite loam granite outcrops ,,,,,,,,,rocky_outcrop,outcrops,,,,,granitic,granite,clay loam sand,clay loam sand,,
Kunzea baxteri,sandy soils. granite outcrops & hills., sandy soils granite outcrops  hills ,,,,,,,,,hills rocky_outcrop,hills outcrops,,,,,granitic,granite,sand,sandy,,
Kunzea ericifolia,"peaty sand, grey sand, quartzite. seasonally wet swamps, moist situations, amongst rocks on summit.", peaty sand grey sand quartzite seasonally wet swamps moist situations amongst rocks on summit ,,,,,,,wet moist,swamps moist wet,,,swamp,swamps,grey,grey,quartzite,quartzite,peat sand,peaty sand,,
Kunzea eriocalyx,"loamy soils, sandy clay over laterite, sand. rocky quartzite outcrops.", loamy soils sandyclay over laterite sand rocky quartzite outcrops ,,,,,,,,,rocky_outcrop,outcrops,,,,,lateritic quartzite,laterite quartzite,loam soil_rocky sand clay_sandy,loamy rocky sand sandyclay,,
Kunzea jucunda,sandy or rocky soils. undulating plains., sandy or rockysoils undulating plainss ,,,,,,,,,plains undulating,plainss undulating,plains,plains,,,,,soil_rocky sand,rockysoils rockys sandy,,
Kunzea micrantha,"sand, clay, loam or peaty soils. winter-wet depressions, temporary marshes.", sand clay loam or peaty soils winterwet depressions temporary marshes ,,,,,,,winterwet,winterwet,depressions,depressions,bog,marshes,,,,,clay loam peat sand,clay loam peaty sand,,
Kunzea micromera,"sandy soils, clay. often in moist depressions.", sandy soils clay often in moist depressions ,,,,,,,moist,moist,depressions,depressions,,,,,,,clay sand,clay sandy,,
Kunzea montana,"sandy soils over quartzite, loam. rocky outcrops, rocky slopes.", sandy soils over quartzite loam rocky outcrops rockyslopes ,,,,,,,,,slopes_rocky rocky_outcrop,rockyslopes outcrops,,,,,quartzite,quartzite,loam soil_rocky sand,loam rocky sandy,,
Kunzea pauciflora,"gravelly sandy or loamy soils over limestone, sandstone or spongolite. hillsides, coastal slopes.", gravelly sandy or loamy soils over limestone sandstone or spongolite hillsides coastal slopes ,,,,,,,,,coastal hills slopes,coastal hills hillsides slopes,,,,,limestone sandstone,limestone sandstone,gravel loam sand,gravelly loamy sands sandy,,
Kunzea preissiana,"sandy soils, gravelly lateritic soils.", sandy soils gravelly lateritic soils ,,,,,,,,,,,,,,,lateritic,lateritic,gravel sand,gravelly sandy,,
Kunzea pulchella,skeletal sandy or clay soils. granite outcrops & slopes., skeletal sandy or clay soils granite outcrops  slopes ,,,,,,,,,rocky_outcrop slopes,outcrops slopes,,,,,granitic,granite,clay sand skeletal,clay sandy skeletal,,
Kunzea recurva,"variety of soils. winter-wet depressions, rocky slopes.", varietyofsoils winterwet depressions rockyslopes ,,,,,,,winterwet,winterwet,slopes_rocky depressions,rockyslopes depressions,,,,,,,various soil_rocky,varietyofsoils rockys,,
Kunzea sulphurea,"white, grey or black sand. stable dunes, ridge tops, seasonally wet flats.", white grey or black sand stable dunes ridge tops seasonally wet flats ,,,,,,,wet,wet,flats ridges,flats ridge,sanddunes,dunes,black grey white,black grey white,,,sand,sand,,
Lamarchea hakeifolia,"sand, sandy loam. undulating areas, sand dunes.", sand sandy loam undulating areas sanddunes ,,,,,,,,,undulating,undulating,sanddunes,sanddunes,,,,,loam sand,loam sand sandy,,
Lamarchea sulcata,"red sand, gravelly loam. sand dunes, rocky hills, flats.", redsand gravelly loam sanddunes rocky hills flats ,,,,,,,,,flats hills,flats hills,sanddunes,sanddunes,red,reds,,,sand_red gravel loam soil_rocky,redsand gravelly loam rocky,,
Leptospermum erubescens,"sandy soils, often with gravel.", sandy soils often with gravel ,,,,,,,,,,,,,,,,,gravel sand,gravel sandy,,
