Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Synaphea sp. pinjarra (r. davis 6578),Synaphea sp. pinjarra (r. davis 6578),Club-leafed synaphea,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Synaphea sp. pinjarra plain (a.s. george 17182),Synaphea sp. pinjarra plain (a.s. george 17182),NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Synaphea sp. serpentine (g.r. brand 103),Synaphea sp. serpentine (g.r. brand 103),NA,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Synaphea stenoloba,Synaphea stenoloba,Dwellingup synaphea,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Named species
Synaphea stenoloba,Synaphea stenoloba,Dwellingup synaphea,Plants,EN,7,Natural system modifications,7.2,Dams and water management/use,7.2,Dams and water management/use,Changed surface and groundwater regimes,Dams and altered flow regimes,Ongoing,3,1,3,7,Medium,Changed hydrology -dry years and groundwater use
Syzygium moorei,Syzygium moorei,"Rose apple, coolamon, robby, durobby, watermelon tree, coolamon rose apple",Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (myrtle rust),Invasive species and diseases,Disease,Ongoing,3,1,3,7,Medium,Myrtle rust -species relatively tolerant
Syzygium moorei,Syzygium moorei,"Rose apple, coolamon, robby, durobby, watermelon tree, coolamon rose apple",Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Taudactylus rheophilus,Taudactylus rheophilus,Tinkling frog,Frogs,EN,11,Climate change and severe weather,11,Climate change and severe weather,11,Climate change and severe weather,Climate change and severe weather,Climate change and severe weather-Unspecified,Ongoing,3,1,3,7,Medium,Climate change severe weather events
Tetratheca gunnii,Tetratheca gunnii,"Shy pinkbells, shy susan",Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,1,3,7,Medium,Lack of fire leading to heathland closing in -numbers well down in long-unburnt sites
Tetratheca paynterae,Tetratheca paynterae,Paynter's tetratheca,Plants,EN,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,2,2,3,7,Medium,Approval granted to remove 30% of popn in mining operation
Thalassarche bulleri,Thalassarche bulleri bulleri,Southern Buller's Albatross,Birds,VU,11,Climate change and severe weather,11.1,Habitat shifting and alteration,11.1,Habitat shifting and alteration,Climate change and severe weather,Sea-level rise,Ongoing,3,1,3,7,Medium,Habitat shifting & alteration (sea level rise)
Thalassarche bulleri,Thalassarche bulleri bulleri,Southern Buller's Albatross,Birds,VU,11,Climate change and severe weather,11.1,Habitat shifting and alteration,11.1,Habitat shifting and alteration,Climate change and severe weather,Habitat shifting and alteration,Ongoing,3,1,3,7,Medium,Habitat shifting & alteration (shift in food resources)
Thalassarche impavida,Thalassarche impavida,Campbell albatross,Birds,VU,5,Biological resource use,5.4,Fishing and harvest aquatic resources,5.4.4,Unintentional effects: Large scale (species being assessed is not the target) [harvest],Overexploitation and other direct harm from human activities,Bycatch,Ongoing,2,2,3,7,Medium,Unintentional effects: large scale -species being assessed is not the target [harvest]: gill netting
Thalassarche impavida,Thalassarche impavida,Campbell albatross,Birds,VU,5,Biological resource use,5.4,Fishing and harvest aquatic resources,5.4.4,Unintentional effects: Large scale (species being assessed is not the target) [harvest],Overexploitation and other direct harm from human activities,Bycatch,Ongoing,2,2,3,7,Medium,Unintentional effects: large scale -species being assessed is not the target [harvest]: demersal longline- assumes that and without environmental legislation and more alabtross would be killed as bycatch
Thalassarche melanophris,Thalassarche melanophrys,Black-browed Albatross,Birds,VU,5,Biological resource use,5.4,Fishing and harvest aquatic resources,5.4.4,Unintentional effects: Large scale (species being assessed is not the target) [harvest],Overexploitation and other direct harm from human activities,Bycatch,Ongoing,2,2,3,7,Medium,Unintentional effects: large scale (species being assessed is not the target [harvest]: gill netting)
