Scientific Name,Native,Susceptibility,Observation,References,original_source,Synonyms,accepted_name,reason,taxon_rank,accepted_or_suggested_name,notes
Leptospermum wooroonooran,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Leptospermum wooroonooran,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum wooroonooran,
Lindsayomyrtus racemoides,Y,M,NI,Morin et al. 2012; Pegg et al. 2014; Pegg Mt Cootha 2016,Morin_2012; Pegg_2014; Pegg_2016,NA,Lindsayomyrtus racemoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lindsayomyrtus racemoides,
Lithomyrtus obtusa,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Lithomyrtus obtusa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lithomyrtus obtusa,
Lithomyrtus retusa,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Lithomyrtus retusa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lithomyrtus retusa,
Lophomyrtus bullata,N,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Lophomyrtus bullata,Exact match of the first word of the taxon name to an APNI-listed genus (2024-10-28),genus,Lophomyrtus sp. [Lophomyrtus bullata],exclude-NZ
Lophomyrtus obcordata,N,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Lophomyrtus obcordata,Exact match of the first word of the taxon name to an APNI-listed genus (2024-10-28),genus,Lophomyrtus sp. [Lophomyrtus obcordata],exclude-NZ
Lophomyrtus ralphii,N,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Lophomyrtus ralphii,Exact match of the first word of the taxon name to an APNI-listed genus (2024-10-28),genus,Lophomyrtus sp. [Lophomyrtus ralphii],exclude-NZ
Lophostemon confertus,Y,R,I,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Lophostemon confertus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lophostemon confertus,
Lophostemon suaveolens,Y,R-M,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Lophostemon suaveolens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lophostemon suaveolens,
Melaleuca alternifolia,Y,L-H,NI,Morin et al. 2012; Sandhu and Park 2013; Giblin and Carnegie 2014,Morin_2012; Sandhu_2013; Giblin_2014,NA,Melaleuca alternifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca alternifolia,
Melaleuca argentea,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca argentea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca argentea,
Melaleuca armillaris,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca armillaris,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca armillaris,
Melaleuca biconvexa,Y,S*,NI,Morin et al. 2012; Giblin and Carnegie 2014,Morin_2012; Giblin_2014,NA,Melaleuca biconvexa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca biconvexa,
Melaleuca cardiophylla,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca cardiophylla,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca cardiophylla,
Melaleuca cheelii,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca cheelii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca cheelii,
Melaleuca decora,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca decora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca decora,
Melaleuca ericifolia,Y,R-H,I,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Melaleuca ericifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca ericifolia,
Melaleuca fluviatilis,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca fluviatilis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca fluviatilis,
Melaleuca gibbosa,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Melaleuca gibbosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca gibbosa,
Melaleuca howeana,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca howeana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca howeana,
Melaleuca leucadendra,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca leucadendra,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca leucadendra,
Melaleuca linariifolia,Y,M-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Melaleuca linariifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca linariifolia,
Melaleuca nervosa,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca nervosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca nervosa,
Melaleuca nesophila,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca nesophila,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca nesophila,
Melaleuca nodosa,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca nodosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca nodosa,
Melaleuca pustulata,Y,S*,I,Sandhu and Park 2013,Sandhu_2013,NA,Melaleuca pustulata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca pustulata,
Melaleuca quinquenervia,Y,L-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Melaleuca quinquenervia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca quinquenervia,
Melaleuca saligna,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca saligna,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca saligna,
Melaleuca sapientes,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Melaleuca sapientes,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca sapientes,
Melaleuca sieberi,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca sieberi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca sieberi,
Melaleuca squamea,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca squamea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca squamea,
Melaleuca squarrosa,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Melaleuca squarrosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca squarrosa,
Melaleuca styphelioides,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Melaleuca styphelioides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca styphelioides,
Melaleuca viridiflora,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Melaleuca viridiflora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Melaleuca viridiflora,
Metrosideros carminea,N,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Metrosideros carminea,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Metrosideros sp. [Metrosideros carminea],exclude-NZ
Metrosideros collina,N,M-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Metrosideros collina,Exact match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2024-10-28),species,Metrosideros collina,
Metrosideros collina x villosa,N,M,N,Pegg et al. 2014,Pegg_2014,NA,Metrosideros collina x villosa,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Metrosideros x [Metrosideros collina x villosa],exclude-Cook Islands
Metrosideros excelsa,N,H,NI,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Metrosideros excelsa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Metrosideros excelsa,
Metrosideros kermadecensis,N,M,N,Pegg et al. 2014,Pegg_2014,NA,Metrosideros kermadecensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Metrosideros kermadecensis,
Metrosideros nervulosa,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Metrosideros nervulosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Metrosideros nervulosa,
Metrosideros sclerocarpa,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Metrosideros sclerocarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Metrosideros sclerocarpa,
Metrosideros thomasii,N,M,N,Pegg et al. 2014,Pegg_2014,NA,Metrosideros thomasii,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Metrosideros sp. [Metrosideros thomasii],exclude-NZ
Metrosideros vitiensis,Y,S*,N,Board Meeting Paper (from Laura),Board Meeting Paper (from Laura),NA,Metrosideros vitiensis,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Metrosideros sp. [Metrosideros vitiensis],exclude-Pacific Islands
Mitrantia bilocularis,Y,M,NI,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,NA,Mitrantia bilocularis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Mitrantia bilocularis,
Myrtus communis,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Myrtus communis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Myrtus communis,
Neofabricia myrtifolia,Y,H,NI,"Pegg, unpublished data","Pegg, unpublished data",NA,Neofabricia myrtifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Neofabricia myrtifolia,
Osbornia octodonta,Y,M,NI,Pegg et al. 2014,Pegg_2014,NA,Osbornia octodonta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Osbornia octodonta,
Pilidiostigma glabrum,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Pilidiostigma glabrum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Pilidiostigma glabrum,
Pilidiostigma rhytispermum,Y,M,N,Workshop 2016,Workshop 2016,NA,Pilidiostigma rhytispermum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Pilidiostigma rhytispermum,
Pilidiostigma tetramerum,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Pilidiostigma tetramerum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Pilidiostigma tetramerum,
Pilidiostigma tropicum,Y,R-S*,NI,"Pegg, unpublished data","Pegg, unpublished data",NA,Pilidiostigma tropicum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Pilidiostigma tropicum,
Pimenta dioica,N,M-H,I,Morin et al. 2012,Morin_2012,NA,Pimelea penicillaris,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Pimelea penicillaris,
Plinia cauliflora,N,M,N,Pegg et al. 2014,Pegg_2014,Myrciaria cauliflora,Plinia cauliflora,NA,NA,Plinia cauliflora,exclude-Brazil
Psidium cattleianum,N,R-L,I,Morin et al. 2012,Morin_2012,NA,Psidium cattleyanum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Psidium cattleyanum,
Psidium guajava,N,R-L,NI,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Psidium guajava,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Psidium guajava,
Regelia velutina,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Regelia velutina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Regelia velutina,
Rhodamnia acuminata,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia acuminata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia acuminata,
Rhodamnia angustifolia,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia angustifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia angustifolia,
Rhodamnia arenaria,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia arenaria,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia arenaria,
Rhodamnia argentea,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia argentea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia argentea,
Rhodamnia australis,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Rhodamnia australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia australis,
Rhodamnia blairiana,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia blairiana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia blairiana,
Rhodamnia costata,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Rhodamnia costata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia costata,
Rhodamnia dumicola,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia dumicola,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia dumicola,
Rhodamnia glabrescens,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia glabrescens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia glabrescens,
Rhodamnia glauca,Y,H,NI,Workshop 2016,Workshop 2016,Rhodamnia spongiosa,Rhodamnia spongiosa,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia spongiosa,
Rhodamnia maideniana,Y,H,N,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,NA,Rhodamnia maideniana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia maideniana,
Rhodamnia pauciovulata,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia pauciovulata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia pauciovulata,
Rhodamnia rubescens,Y,H,N,Workshop 2016,Workshop 2016,NA,Rhodamnia rubescens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia rubescens,
Rhodamnia sessiliflora,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Rhodamnia sessiliflora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodamnia sessiliflora,
Rhodomyrtus effusa,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodomyrtus effusa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus effusa,
Rhodomyrtus macrocarpa,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodomyrtus macrocarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus macrocarpa,
Rhodomyrtus pervagata,Y,M-H,NI,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,NA,Rhodomyrtus pervagata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus pervagata,
Rhodomyrtus psidioides,Y,H,N,Workshop 2016,Workshop 2016,NA,Rhodomyrtus psidioides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus psidioides,
Rhodomyrtus sericea,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodomyrtus sericea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus sericea,
Rhodomyrtus tomentosa,N,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Rhodomyrtus tomentosa,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus tomentosa,
Rhodomyrtus trineura,Y,H,N,Workshop 2016,Workshop 2016,NA,Rhodomyrtus trineura,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Rhodomyrtus trineura,
Rhodomyrtus trineura canescens,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,Rhodomyrtus canescens,Rhodomyrtus canescens,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),variety,Rhodomyrtus canescens,
Rhodomyrtus trineura capensis,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Rhodomyrtus trineura subsp. capensis,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Rhodomyrtus trineura subsp. capensis,
Ristantia pachysperma,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Ristantia pachysperma,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Ristantia pachysperma,
Ristantia waterhousei,Y,L-M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Ristantia waterhousei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Ristantia waterhousei,
Sannantha angusta,Y,R,I,Morin et al. 2012,Morin_2012,NA,Sannantha angusta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Sannantha angusta,
"Sannantha tozerensis ""Mt Tozer""",Y,R,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Sannantha tozerensis,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Sannantha tozerensis,
Sphaerantia discolor,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,NA,Sphaerantia discolor,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Sphaerantia discolor,
Stockwellia quadrifida,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Stockwellia quadrifida,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Stockwellia quadrifida,
Syncarpia glomulifera,Y,R-H,NI,Morin et al. 2012,Morin_2012,NA,Syncarpia glomulifera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syncarpia glomulifera,
Syzygium alatoramulum,Y,M,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Syzygium alatoramulum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium alatoramulum,
Syzygium alliiligneum,Y,R,N,"Pegg, unpublished data","Pegg, unpublished data",Syzygium alliligneum,Syzygium alliiligneum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium alliiligneum,
Syzygium angophoroides,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium angophoroides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium angophoroides,
Syzygium anisatum,Y,M-H,NI,Morin et al. 2012; Giblin and Carnegie 2014,Morin_2012; Giblin_2014,NA,Syzygium anisatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium anisatum,
Syzygium apodophyllum,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium apodophyllum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium apodophyllum,
Syzygium aqueum,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium aqueum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium aqueum,
Syzygium argyropedicum,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium argyropedicum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium argyropedicum,
Syzygium armstrongii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium armstrongii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium armstrongii,
Syzygium australe,Y,R-M,NI,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium australe,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium australe,
Syzygium australe (Captain Cook),Y,L-M,I,Morin et al. 2012,Morin_2012,NA,Syzygium australe,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Syzygium australe,
Syzygium australe (Meriden Midget),Y,H,I,Morin et al. 2012,Morin_2012,NA,Syzygium australe,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Syzygium australe,
Syzygium australe pinnacle,N,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Syzygium australe,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Syzygium australe,
Syzygium bamagense,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium bamagense,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium bamagense,
Syzygium banksii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium banksii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium banksii,
Syzygium boonjee,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium boonjee,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium boonjee,
Syzygium branderhorstii,Y,R,NI,Sandhu and Park 2013; Giblin and Carnegie 2014; Pegg Mt Cootha 2016,Sandhu_2013; Giblin_2014; Pegg_2016,NA,Syzygium branderhorstii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium branderhorstii,
Syzygium buettnerianum,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium buettnerianum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium buettnerianum,
Syzygium bungadinnia,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium bungadinnia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium bungadinnia,
Syzygium canicortex,Y,R-M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium canicortex,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium canicortex,
Syzygium claviflorum,Y,M-H,N,Workshop 2016,Workshop 2016,Acmenosperma claviflorum,Syzygium claviflorum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium claviflorum,
Syzygium cormiflorum,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium cormiflorum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium cormiflorum,
Syzygium corynanthum,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium corynanthum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium corynanthum,
Syzygium cryptophlebium,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,Syzygium wilsonii subsp. Cryptophlebium,Syzygium cryptophlebium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium cryptophlebium,
Syzygium cumini,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium cumini,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium cumini,
Syzygium dansiei,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016;Workshop 2016,Pegg_2014; Pegg_2016;Workshop 2016,NA,Syzygium dansiei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium dansiei,
Syzygium endophloium,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium endophloium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium endophloium,
Syzygium erythrocalyx,Y,R-M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium erythrocalyx,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium erythrocalyx,
Syzygium erythrodoxum,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium erythrodoxum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium erythrodoxum,
Syzygium eucalyptoides,Y,H,N,Workshop 2016,Workshop 2016,NA,Syzygium eucalyptoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium eucalyptoides,
Syzygium eucalyptoides eucalyptoides,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium eucalyptoides subsp. eucalyptoides,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Syzygium eucalyptoides subsp. eucalyptoides,
Syzygium fibrosum,Y,L-M,I,"Morin et al. 2012; Pegg, unpublished data","Morin_2012; Pegg, unpublished data",NA,Syzygium fibrosum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium fibrosum,
