"Species","Family","la","ls","size","hw","life.span","cs","cim","vs","rp","seed.size","n2","n_mine","nm","om","em","am"
"Eucalyptus marginata","Myrtaceae",4,3,6,"Skinny","Perennial","Organs","woody dicots with trunk and bark",0,"springish",3,"No","No",FALSE,FALSE,TRUE,TRUE
"Gastrolobium villosum","Fabaceae",4,2,4,"Skinny","Perennial","Organs","semi-woody dicots",0,"springish",4,"Yes","No",FALSE,FALSE,TRUE,TRUE
"Glischrocaryon aureum","Haloragaceae",2,1,4,"Skinny","Perennial","Organs","herbaceous dicots",1,"springish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Gompholobium knightianum","Fabaceae",2,2,3,"Skinny","Perennial","No_organs","semi-woody dicots",0,"springish",4,"Yes","No",FALSE,FALSE,TRUE,TRUE
"Gompholobium preissii","Fabaceae",2,2,2,"Skinny","Perennial","No_organs","semi-woody dicots",0,"springish",4,"Yes","No",FALSE,FALSE,TRUE,TRUE
"Grevillea pilulifera","Proteaceae",2,3,4,"Skinny","Perennial","Organs","semi-woody dicots",0,"springish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Grevillea synapheae","Proteaceae",3,3,4,"Skinny","Perennial","Organs","semi-woody dicots",0,"winterish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Haemodorum laxum","Haemodoraceae",3,2,4,"Fat","Perennial","Organs","herbaceous monocots",0,"summerish",4,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Haemodorum simulans","Haemodoraceae",3,2,4,"Fat","Perennial","Organs","herbaceous monocots",0,"summerish",4,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Hakea amplexicaulis","Proteaceae",4,3,5,"Skinny","Perennial","Organs","semi-woody dicots",0,"winterish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Hakea lissocarpha","Proteaceae",2,3,4,"Normal","Perennial","Organs","semi-woody dicots",0,"winterish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Hakea ruscifolia","Proteaceae",2,3,5,"Skinny","Perennial","Organs","semi-woody dicots",0,"summerish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Hakea trifurcata","Proteaceae",2,3,5,"Normal","Perennial","No_organs","semi-woody dicots",0,"winterish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Hibbertia amplexicaulis","Dilleniaceae",3,2,3,"Skinny","Perennial","Organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Hibbertia commutata","Dilleniaceae",2,2,3,"Normal","Perennial","Organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Hibbertia hypericoides","Dilleniaceae",2,2,4,"Normal","Perennial","Organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Hibbertia ovata","Dilleniaceae",2,2,3,"Normal","Perennial","Organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Hibbertia pachyrrhiza","Dilleniaceae",3,2,3,"Normal","Perennial","Organs","semi-woody dicots",0,"summerish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Hovea chorizemifolia","Fabaceae",4,2,3,"Skinny","Perennial","Organs","semi-woody dicots",0,"winterish",4,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Hyalosperma cotula","Asteraceae",1,1,2,"Normal","Annual","No_organs","herbaceous dicots",0,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Hypocalymma robustum","Myrtaceae",2,2,4,"Normal","Perennial","No_organs","semi-woody dicots",0,"springish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Hypochaeris radicata","Asteraceae",4,1,3,"Fat","Annual","No_organs","herbaceous dicots",0,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Isopogon sphaerocephalus","Proteaceae",3,3,4,"Normal","Perennial","Organs","semi-woody dicots",0,"springish",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Isotoma hypocrateriformis","Campanulaceae",1,1,3,"Skinny","Annual","No_organs","herbaceous dicots",0,"springish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Isotropis cuneifolia","Fabaceae",2,2,2,"Skinny","Perennial","Organs","herbaceous dicots",1,"winterish",2,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Kennedia coccinea","Fabaceae",4,2,2,"Fat","Perennial","No_organs","semi-woody dicots",2,"springish",3,"Yes","Yes",TRUE,FALSE,FALSE,FALSE
"Labichea punctata","Fabaceae",4,2,4,"Fat","Perennial","Organs","semi-woody dicots",0,"springish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Lagenophora huegelii","Asteraceae",4,1,2,"Fat","Perennial","Organs","herbaceous dicots",1,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Laxmannia ramosa","Asparagaceae",1,2,3,"Fat","Perennial","Organs","herbaceous monocots",2,"winterish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Lechenaultia biloba","Goodeniaceae",1,2,4,"Fat","Perennial","Organs","semi-woody dicots",2,"springish",5,"No","No",FALSE,FALSE,FALSE,TRUE
"Lepidosperma carphoides","Cyperaceae",3,2,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"No.peak",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Lepidosperma pubisquameum","Cyperaceae",3,2,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"No.peak",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Lepidosperma sp. 6","Cyperaceae",3,2,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"No.peak",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Lepidosperma sp.5","Cyperaceae",3,2,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"No.peak",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Lepidosperma squamatum","Cyperaceae",4,2,4,"Skinny","Perennial","Organs","herbaceous monocots",2,"No.peak",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Lepidosperma tenue","Cyperaceae",3,2,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"No.peak",3,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Leucopogon capitellatus","Ericaceae",1,2,4,"Normal","Perennial","Organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,TRUE,FALSE
