taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Epacris graniticola, grows on skeletal soils on rocky outcrops of Devonian granites usually on summits in heaths and dry scrubforests between 90 and 720 m above sea level Keith 1998 ,,,,,,,dry,dry,rocky_outcrop,outcrops,heath outcrop rocky,heaths outcrops rocky,,,granitic,granites,skeletal soil_rocky,skeletal rocky,,
Eremochloa muricata, grassy exposed rocky headland ,,,,,,,,,,,escarpment rocky,headland rocky,,,,,soil_rocky,rocky,,
Eremophila koobabbiensis, habitat of the species consists of open Eucalyptus salmonophloia Salmon Gum and Eucalyptus salubris Gimlet woodland in flat loamy brown soil with Eremophila sargentii CALM 2006 Eucalyptus woodland openwoodland ,,,,,,,,,flats,flat,woodland_open woodland,openwoodland openwoodland woodland,brown,brown,,,loam,loamy,,
Eremophila rostrata, grows on stony buff coloured saline clays at the base of quartzite hills in an open shrubland to 25 m  grows in red brown clay loam in open mallee woodland to 6 m o ,,,,,,,,,hills,hills,mallee shrubland woodland,mallee shrubland woodland,brown red,brown red,quartzite saline,quartzite saline,clay loam stony,clays loam stony,,
Eremophila ternifolia, grows in redclays between breakaways in mallee or morel and gimlet woodlands with scattered mallee ,,,,,scattered,scattered,,,breakaways,breakaways,mallee rocky woodland,mallee breakaways woodlands,,,,,clay_red,redclays,,
Eremophila vernicosa, occurs on slopes and flats on laterite sands DEC 2008 ,,,,,,,,,flats slopes,flats slopes,,,,,lateritic,laterite,sand,sands,,
Eucalyptus alligatrix subsp. miscella, grows in sclerophyll woodland on shallow relatively infertile soils NSW OEH 2012 ,,,,,,,,,,,sclerophyll woodland,sclerophyll woodland,,,,,,,,
Eucalyptus beaniana, grows in woodland with numerous other eucalypt species on quartzose sandstone ridges Soils are shallow and sandy Queensland Herbarium 2008 eucalyptwoodland ,,,,,,,,,ridges,ridges,woodland_eucalypt woodland,eucalyptwoodland woodland,,,sandstone,sandstone,sand,sands sandy,,
Eucalyptus caleyi subsp. ovendenii, occupies the crests of broad high ridges Hill  Johnson 1991 Preferred altitudes are 610 820 m on granitic substrates DECC NSW 2005a grows on shallowsoils in dry open grassywoodlands Hill  Johnson 1991  grassywoodland habitat ,,,,,,,dry,dry,ridges,ridges,woodland_grassy,grassywoodlands,,,granitic,granitic,soil_shallow,shallowsoils,,
Eucalyptus crispata, grows in clayey soils in shallow gullies or on lateritic or granite breakaways and slopes Brown et al 1998 DEC 2008 ,,,,,,,,,breakaways gullies slopes,breakaways gullies slopes,rocky,breakaways,,,granitic lateritic,granite lateritic,clay,clayey,,
Eucalyptus crucis subsp. crucis, grows on shallow granitic sandy loam soil on granite rocks ,,,,,,,,,,,,,,,granitic,granite granitic,loam sand,loam sandy,,
Eucalyptus gunnii subsp. divaricata, adapted to poorly drained highaltitude sites on the edges of treelessflats and frosthollows Potts Potts  Kantvilas 2001 ,,,,,,,,,depressions,frosthollows,alpine flats,highaltitude treelessflats,,,,,,,,
Eucalyptus kabiana, occurs in open heath dominated by Teatree Leptospermum luehmannii with stunted Brush Box Lophostemon confertus on steep to very steepslopes where plants are rooted in fissured natural pavement with littleaccumulatedsoil The substrate is volcanic rock known as trachyte Johnson  Hill 1991 ,,,,,,,,,slopes_steep,steepslopes,heath,heath,,,trachyte volcanic,trachyte volcanic,soil_little pavement volcanic,littleaccumulatedsoil pavement volcanic,,
Eucalyptus x lateritica, inhabits white or grey sandy soils of lateritic gravelly slopes and breakaways in upland regions Laterite Mallee occurs in malleeheath that include ,,,,,,,,,breakaways slopes,breakaways slopes,mallee_heath rocky,malleeheath breakaways,grey white,grey white,lateritic,lateritic,gravel sand,gravelly sandy,,
Eucalyptus mooreana, grows on sandy soil overlying sandstone and quartzite on summits ,,,,,,,,,,,,,,,quartzite sandstone,quartzite sandstone,sand,sands sandy,,
Eucalyptus paedoglauca, occurs on ridges or hill slopes on shallow sandyloam soil Queensland Herbarium 2008 ,,,,,,,,,hills ridges slopes,hill ridges slopes,,,,,,,loam_sandy,sandyloam sandyloam,,
Eucalyptus platydisca, restricted to two granite hills The soil is poorly developed reddish sandy loam among small stones and large boulders ,,,,,,,,,hills,hills,,,,,granitic,granite,loam sand,loam sandy,,
Eucalyptus pruiniramis, grows in open low mallee woodlands emerging from heath or scrub in yellow sand or brown sandy loam and lateritic gravel or quartz It usually occurs on midslopes fairly high in the landscape Brown et al 1998 Patrick  Brown 2001 ,,,,,,,,,,,heath mallee scrubland woodland,heath mallee scrub woodlands,brown yellow,brown yellow,lateritic,lateritic,gravel loam sand,gravel loam sand sandy,,
Eucalyptus recta, occurs on gravel rises and gravelly sands on slopes with Eucalyptus gardneri Blue Mallet and Eucalyptus salmonophloia Salmon Gum in the Cadoux area and with the Salmon Gum in the Wongan Hills area CALM 2005 ,,,,,,,,,slopes swales,slopes rises,,,,,,,gravel sand,gravel gravelly sands,,
Eucalyptus rubida subsp. barbigerorum, occurs in grassywoodland on deep fertile clayloam soils ,,,,,,,,,,,woodland_grassy,grassywoodland,,,,,loam_clayey fertile,clayloam fertile,,
Euphorbia carissoides, grows on clifflines among rocky outcrops and hillsides in shrubland and eucalypt low openwoodland communities in generally shallowsoils derived from sandstone granite and rhyolite substrates Queensland Herbarium 2008 ,,,,,,,,,escarpment hills rocky_outcrop,clifflines hills hillsides outcrops,woodland_open outcrop shrubland rocky,openwoodland outcrops shrubland openwoodland rocky,,,granitic rhyolite sandstone,granite rhyolite sandstone,soil_shallow sand soil_rocky,shallowsoils sands rocky,,
Fimbristylis adjuncta, grows in dried out places in swamps Blake 1947 BRI collection records nd ,,,,,,,wet,swamps,,,swamp,swamps,,,,,,,,
Frankenia conferta, preferred habitat is around the high water mark of lakeshorelines to the tops of low mounds within saline pans T ,,,,,,,wet,water,,,lake_margin,lakeshorelines,,,saline,saline,,,,
Frankenia parvula, found on white to brown sand over sandyclay in sandy rises near saline drainagelines along the high water mark of salt lake edges and major drainage channels and also sometimes on the pan of seasonal lakes T ,,,,,,,wet,water,drainages swales,drainagelines rises,lakes,lakes,brown white,brown white,saline,saline salt,clay_sandy sand,sandyclay sand sandy,,
Frankenia plicata, grows in a range of habitats including on small hillside channels which take the first runoff after rain Leigh et al 1985 In the Simpson Desert the species has been found predominantly from swales of loamysands to clay Neagle 2002 This species is found in a wide range of vegetation communities that have good drainage Neagle 2002 drainages ,,,,,,,,,drainages hills swales,drainages hills hillside swales,,,,,,,sand_loamy clay loam,loamysands clay loamys,,
Galium antarcticum, vegetated bank at the edgeofalake feldmark lakeshore ,,,,,,,,,,,lake_margin feldmark,edgeofalake lakeshore feldmark,,,,,,,,
Gastrolobium graniticum, margins of granite outcrops especially along drainagelines on sandy soils in openwoodland ,,,,,,,,,drainages rocky_outcrop,drainagelines outcrops,woodland_open outcrop,openwoodland outcrops openwoodland,,,granitic,granite,sand,sandy,,
Gastrolobium hamulosum, grows on pale yellow clay loam with some sand and gravel on clay flats It also grows in white and grey sand or sandyclay It sometimes occurs in disturbed ground with other colonising shrubs such as in low heath  This species has also been recorded from quartzite ridges Brown et al 1998 Johnston et al 2006 ,,,,,,,,,flats ridges,flats ridges,disturbed heath shrubland,disturbed heath shrubs,grey white yellow,grey white yellow,quartzite,quartzite,clay clay_sandy gravel loam sand,clay sandyclay gravel loam sand,,
Gastrolobium lehmannii, occurs in red and brown loam and gravel with three populations occurring on sloping topography while the remaining three occur on breakaways and hilltop All known populations occur in low openwoodland of Eucalyptus marginata and E falcata with Hakea lissocarpha Austrostipa spp and Austrodanthonia spp Chandler et al 2002 ,,,,,,,,,breakaways,breakaways,woodland_open rocky,openwoodland breakaways openwoodland,brown red,brown red,,,gravel loam,gravel loam,,
Gastrolobium luteifolium, grows in skeletal sandyclay loam soils in shrubland on a mountain slope and summi ,,,,,,,,,mountains slopes,mountain slope,shrubland,shrubland,,,,,clay_sandy loam skeletal,sandyclay loam skeletal,,
Gastrolobium modestum, grows in what appears to be a transitional vegetation community between ironstone outcrops and adjacent sand over clay habitats Brown et al 1998 on the edges of an ironstone flat and drainagelines with variable shallowsoils of redclayloam to grey sand Crisp 1995 Chandler et al 2002 ,,,,,,,,,drainages flats rocky_outcrop,drainagelines flat outcrops,outcrop,outcrops,grey,grey,iron ironstone,irons ironstone,soil_shallow clay sand,shallowsoils clay sand,,
Gingidia rupicola, occurs in crevices of basalt and trachyte rock on cliffs 14001750 m above sea level ,,,,,,,,,cliff,cliffs,crevices cliffs,crevices cliffs cliffs,,,basaltic trachyte,basalt trachyte,,,,
Grevillea brachystylis subsp. grandis, grows on brown lateritic clay loam soils in Marri woodland ,,,,,,,,,,,woodland,woodland,brown,brown,lateritic,lateritic,clay loam,clay loam,,
Grevillea calliantha, grows in grey or yellow sand or sandyclay on lower to mid level slopes to low hills and rises or sometimes on slopes in shallow gullies between lateritic ridges Footes Grevillea grows in low heath and dwarf scrub under open low woodland of Eucalyptus ,,,,,,,,,gullies hills ridges slopes swales,gullies hills ridges slopes rises,heath scrubland woodland,heath scrub woodland,grey yellow,grey yellow,lateritic,lateritic,clay_sandy sand,sandyclay sand,,
Grevillea flexuosa, grows on sands of granite ridgetop plateaus and associated breakaways Olde  Marriott 1995 Western Australian Herbarium 2008 or lateritic sands and gravel Western Australian Herbarium 2008 on hilltops slopes and in gullies Brown et al 1998 ,,,,,,,,,breakaways gullies plateaus slopes,breakaways gullies plateaus slopes,rocky,breakaways,,,granitic lateritic,granite lateritic,gravel sand,gravel sands,,
Grevillea iaspicula, grows on steepslopes and around sinkholes in limestonederived soil in rock crevices around the entrance to caves on steep rocky hillsides or at the base of cliffs It occurs in Eucalyptus and Brachychiton low woodland with a generally open shrub and grass understorey Briggs  Leigh 1990 Butler et al 1991 Olde  Marriott 1995 Makinson 2000 ,,,,,,,,,slopes_steep cliff hills,steepslopes cliffs hills hillsides,crevices cliffs rocky woodland,crevices cliffs cliffs rocky woodland,,,,,soil_rocky,rocky,,
Guichenotia seorsiflora, occurs on sandyclay with lateritic gravel and on breakaways a lateritic ridge with a steep eroded slope Western Australian Herbarium 2005 ,,,,,,,,,breakaways ridges slopes,breakaways ridge slope,rocky,breakaways,,,lateritic,lateritic,clay_sandy gravel,sandyclay gravel,,
Gyrostemon reticulatus, grows in dense shrubland in brownyellow loamysand on sloping topography ,,,,,,,,,,,shrubland,shrubland,,,,,sand_loamy loam,loamysand loamys,,
Hakea maconochieana, collected on rocky ridge tops in shallow stony red soil often with Bastard Mulga Acacia stowardii and Hakea collina BRI collection records nd ,,,,,,,,,ridges,ridge,rocky,rocky,red,red,,,soil_rocky stony,rocky stony,,
Haloragis exalata subsp. exalata, known from a range of vegetation types all of which appear to have a history of recurrent disturbance It appears to be a postdisturbance coloniser based on observations of large numbers of plants on disturbed roadsides cleared powerline easements and recently burnt or flooded areas ,,,,,,,,,,,disturbed roadside,disturbed roadsides,,,,,,,,
Haloragis exalata subsp. velutina, occurs in damp places nearwatercourses and in woodland on steep rockyslopes NSW DECC 2005a In Queensland it occurs in rainforest and rainforestmargins and adjacent grassland and open grassywoodland above 500 metres altitude Queensland CRARFA Steering Committee 1998 Queensland Herbarium 2008 ,,,,,,,moist,damp,slopes_rocky,rockyslopes,rainforest rainforest_margin streambanks woodland_grassy grassland rocky woodland,rainforest rainforestmargins nearwatercourses grassywoodland grassland rainforest rockys woodland,,,,,soil_rocky,rockys,,
Haloragis eyreana, occurs in lowlyingareas on poorly drained clay loam soils that tend to be waterlogged in winter Pobke 2007 Jusaitis  Freebairn 2010 Most collections have been made in disturbed open grassland and the species has only occasionally been found in more intact habitat where it is associated with ridgefruited mallee Eucalyptus incrassata Dumosa mallee E dumosa or totempoles Melaleuca decussata Jusaitis et al 2000c cited in Pobke 2007 ,,,,,,,winterwet wet,waterlogged in winter waterlogged,flats,lowlyingareas,disturbed grassland mallee,disturbed grassland mallee,,,,,clay loam,clay loam,,
Haloragis platycarpa, found in flat areas in low woodland growing in brown loam soils in association ,,,,,,,,,flats,flat,woodland,woodland,brown,brown,,,loam,loam,,
Helicteres macrothrix, found in openwoodlands dominated by Eucalyptus tectifica or E miniata on sandy loam and on rocky siltstone slopes or granite Holmes et al 2005 Woinarski et al 2007 ,,,,,,,,,slopes,slopes,woodland_open rocky,openwoodlands openwoodlands rocky,,,granitic,granite,loam sand silt soil_rocky,loam sandy silts rocky,,
Hemigenia ramosissima, occurs on grey loamy clay in open malleeshrubland composed of Eucalyptus spathulata Swamp Mallet over heath of Melaleuca uncinata Broombush and M acuminata Phillimore and Brown 2003 ,,,,,,,,,,,shrubland_mallee heath mallee,malleeshrubland heath mallees,grey,grey,,,clay loam,clay loamy,,
Hensmania chapmanii, grows in yellowgrey or lateritic sand among tall shrubland or open low woodland of Pricklybark Eucalyptus todtiana and banksias with scrub or heath beneath on low ridges or hill slopes ,,,,,,,,,hills ridges slopes,hill ridges slopes,heath scrubland shrubland woodland,heath scrub shrubland woodland,,,lateritic,lateritic,sand,sand,,
Hibbertia basaltica, found in native grasslands on basalt slopes along the lower reaches of the Jordan River and one of its tributaries It grows in a narrow band around 50150 m from[:space:][:alpha:]+[:space:]watercourses ,,,,,,,,,slopes watercourses,slopes watercourses,streambanks grassland streams,watercourses grasslands watercourses,,,basaltic,basalt,,,,
Hibbertia priceana, occurs on sandyclay with laterite gravel and occurs primarily on ridges Western Australian Herbarium 2006 ,,,,,,,,,ridges,ridges,,,,,lateritic,laterite,clay_sandy gravel,sandyclay gravel,,
Hibbertia puberula subsp. glabrescens, currently maintained as grasslands  as modified Sydney Coastal Riverflat Forest  Alluvial Woodland It occurs on Sandy Tertiary Alluvium with a high silt content ,,,,,,,,,,,grassland,grasslands,,,,,silt,silt,,
Hibiscus cravenii, occurs on sandy soils at the base of sandstone escarpments associated with the Kellys Knob sandstone formation Woinarski at al 2007 ,,,,,,,,,escarpment,escarpments,escarpment,escarpments,,,sandstone,sandstone,sand,sands sandy,,
Homoranthus decumbens, found in tall shrubland or heath up to 800 m in altitude It occurs on the edges of sandstone cliffs or in shallow sandy soil containing lateritic pebbles ,,,,,,,,,cliff,cliffs,heath shrubland cliffs,heath shrubland cliffs cliffs,,,lateritic sandstone,lateritic sandstone,sand,sands sandy,,
Homoranthus montanus, grow in shallow welldrained soil in crevices on rock pavements on northeast and easterly slopes of granite hillsides at an altitude of 750850 m above sea level Craven  Jones 1991 Donatiu 2006 It grows in openforest dominated by Gumtopped Peppermint Eucalyptus andrewsii to woodland and heathland dominated by Black Cypress Callitris endlicheri Orange Gum E prava Tumbledown Red Gum E dealbata and Caleys Ironbark E caleyi subsp caleyi T ,,,,,,,,,hills slopes,hills hillsides slopes,forest_open crevices heath woodland,openforest crevices heathland woodland,,,granitic,granite,pavement,pavements,draining,welldrained welldrained
Homoranthus porteri, occurs on sandstone pavement rocky outcrops hillsides and scree slopes in open eucalyptwoodland Craven  Jones 1991 BRI collection records nd ,,,,,,,,,hills rocky rocky_outcrop slopes,hills hillsides scree outcrops slopes,woodland_eucalypt outcrop rocky,eucalyptwoodland outcrops scree rocky,,,sandstone,sandstone,pavement sand soil_rocky,pavement sands rocky,,
Indigofera efoliata, prefers stony ground in redbrown sandy loam on a slight rise among ironstone formation Harden 1991 Ayres et al 1996 Mackay  Gross 1998 It appears to inhabit Yellowbox Eucalyptus melliodora woodland Mackay  Gross 1998 E crebra Callitris glaucophylla drysclerophyllforest and E macrocarpaCallitris glaucophylla tall woodland DECC 2005  eucalyptwoodland ,,,,,,,dry,drys,swales,rise,forest_dry_sclerophyll woodland_eucalypt woodland,drysclerophyllforest eucalyptwoodland woodland,,,iron ironstone,irons ironstone,loam sand stony,loam sandy stony,,
Isopogon robustus, occurs in very open shrubland The species grows in grey skeletal sandy loam over laterite and occurs on a decomposing laterite shelf WAH 2006 ,,,,,,,,,,,shrubland,shrubland,grey,grey,lateritic,laterite,loam sand skeletal,loam sandy skeletal,,
Jacksonia velveta, grows in brown to red gravelly loam over laterite on slight slopes in low woodland areas ,,,,,,,,,slopes,slopes,woodland,woodland,brown red,brown red,lateritic,laterite,gravel loam,gravelly loam,,
Kardomia granitica, occurs in the crevices of granite outcrops dominated by heath Bean 1997 ,,,,,,,,,rocky_outcrop,outcrops,crevices heath outcrop,crevices heath outcrops,,,granitic,granite,,,,
Kennedia glabrata, inhabits shallow pockets of soil on granite outcrops in association with mosses and herbs Robinson  Coates 1995 Brown et al 1998 ,,,,,,,,,rocky_outcrop,outcrops,outcrop,outcrops,,,granitic,granite,,,,
Kennedia lateritia, grows close to the coast in black humusrich soils often among granite outcrops The vegetation is typically low coastalheath  eucalyptforest ,,,,,,,,,rocky_outcrop,outcrops,forest_eucalyptus heath_coastal outcrop,eucalyptforest coastalheath outcrops,black,black,granitic,granite,,,,
Kennedia retrorsa, found in a varietyofhabitats from mountainsides to riparian zones in eucalyptwoodland or wetforest with Eucalyptus deanei or alongcreeks with Leptospermum polygalifolium The species occupies sheltered sites generally north facing at 0300 m altitude in cool damp situations with an intermittent supply of moisture and is also known to occur on exposed rocky ridgelines The substrate tends to be rocky with sandy soil but associated with volcanic neck Leigh et al 1984 Benson  McDougall 1996 DECC 2005 ,,,,,,,moist,damp,mountains ridges streambanks,mountains ridgelines alongcreeks,various forest_wet streambanks woodland_eucalypt riparian rocky,varietyofhabitats wetforest alongcreeks eucalyptwoodland riparian alongcreeks rocky,,,volcanic,volcanic,sand soil_rocky volcanic,sandy rocky volcanic,,
Lasiopetalum longistamineum, occurs in grassywoodlands and dry rainforests and grows on rich alluvial deposits Harden 1990 DECC 2005a ,,,,,,,dry,dry,,,rainforest woodland_grassy,rainforests grassywoodlands rainforests,,,alluvial,alluvial,,,,
Lasiopetalum rotundifolium, area that was most likely originally Wandoo woodland   known to grow in areas of openwoodland on the slopes of hills in gravely brown clayey sand Brown et al 1998 DEC 2008 T ,,,,,,,,,hills slopes,hills slopes,woodland_open woodland,openwoodland openwoodland woodland,brown,brown,,,clay sand,clayey sand,,
Lasiopetalum sp. Proston (J.A.Baker 17), occurs in open eucalyptforest on red volcanic loamy soils on basalt ,,,,,,,,,,,forest_eucalyptus,eucalyptforest,red,red,basaltic volcanic,basalt volcanic,loam volcanic,loamy volcanic,,
Lawrencia buchananensis, in salt meadows surrounding the lake on saline clays sandy muds and sanddunes Associated vegetation includes low shrubland herbland and sedgeland ,,,,,,,moist,muds,,,sanddunes herbfield mud shrubland,sanddunes herbland muds shrubland,,,saline,saline salt,clay sand,clays sandy,,
Lechenaultia chlorantha, inhabits rocky gullies ridges breakaways and ledges of redsandstone It grows in pockets of shallow yellowbrown sand which may be situated in rock crevices or amongst open low shrub with other species ,,,,,,,,,breakaways gullies ridges rock_ledge,breakaways gullies ridges ledges,crevices rocky,crevices breakaways rocky,red,reds,,,sand_red sand soil_rocky,redsands sand rocky,,
Leionema obtusifolium, occurs in eucalyptforest often with White Mahogany Eucalyptus acmenoides and Brown Bloodwood Corymbia trachyphloia on sandstone substrates and on granite at Crows Nest NP BRI collection records nd ,,,,,,,,,,,forest_eucalyptus,eucalyptforest,,,granitic sandstone,granite sandstone,sand,sands,,
Lepidosperma rostratum," grows in sandy soil among low heath in a winterwet swamp Brown et al 1998 
woodlands on heavysoils of the Swan Coastal Plain ",,,,,,,winterwet wet,winterwet swamp winterwet,,,heath swamp woodland,heath swamp woodlands,,,,,soil_heavy sand,heavysoils sandy,,
Leptomeria dielsiana, scrubby heath ,,,,,,,,,,,heath,heath,,,,,,,,
Styphelia conferta, may occur in openforest or woodland in rocky granite areas DECC 2005 ,,,,,,,,,,,forest_open rocky woodland,openforest rocky woodland,,,granitic,granite,soil_rocky,rocky,,
Styphelia exolasia, inhabits woodland on sandstone DECC 2005 and prefers rocky hillsides alongcreekbanks NSW NPWS 1997 up to 100 m altitude Powell 2007 ,,,,,,,,,hills,hills hillsides,rocky woodland,rocky woodland,,,sandstone,sandstone,sand soil_rocky,sands rocky,,
Styphelia sp. Coolmunda (D.Halford Q1635), occurs in undulating terrain between 300 and 340 metres above sea level Halford 1993  soils are shallow to 1 m in depth light colouredsandy loams with mottled orange clayey subsoils Halford 1993 The vegetation is predominantly openforest to woodland with a dense lower stratum of heath to 15 m high ,,,,,,,,,undulating,undulating,forest_open heath woodland,openforest heath woodland,orange,orange,,,clay loam,clayey loams,,
Limonium australe var. baudinii, grows in saltmarsh habitat close to or below the hightide mark TSSC 2005a ,,,,,,,,,,,tidal_flats saltmarsh saltmarshes,hightide saltmarsh saltmarsh,,,,,,,,
Lysiosepalum abollatum, grows under open malleeheath in orangebrown sandyclay over laterite at the base and lower slopes of hills ,,,,,,,,,hills slopes,hills slopes,mallee_heath,malleeheath,,,lateritic,laterite,clay_sandy,sandyclay,,
Macrozamia machinii, occur in sandy soils in flat areas of openforest dominated   occurs on a red lateritic ridge with ,,,,,,,,,flats ridges,flat ridge,forest_open,openforest,red,red,lateritic,lateritic,sand,sandy,,
Macrozamia parcifolia, grows on welldrained hard redbrown clay loams of basaltic origin on ridges and slopes in tall openforest with a sparse to dense shrubby understorey Queensland CRARFA Steering Committee 1998 ,,,,,,,,,ridges slopes,ridges slopes,forest_open,openforest,,,basaltic,basaltic,clay loam,clay loams,draining,welldrained welldrained
Leichhardtia brevifolia, grows on serpentine rock outcrops or crumbly black soils derived from serpentine in eucalyptwoodland  grow in woodland on granite soils occurs in openforest on dark acid agglomerate soils Forster 1995 ,,,,,,,,,rocky_outcrop,outcrops,forest_open woodland_eucalypt outcrop woodland,openforest eucalyptwoodland outcrops woodland,black,black,acidic agglomerate granitic,acid agglomerate granite,,,,
Melaleuca kunzeoides, grows in shallowsoil and dissected residual in association with Mountain Yapunya Eucalyptus thozetiana E tessellaris Eremophila latrobei and Bastard mulga Acacia stowardii BRI collection records nd ,,,,,,,,,,,woodland_acacia,mulga,,,,,soil_shallow,shallowsoil,,
Microcarpaea agonis, margins of an Eleocharis Cyperus dominated seasonal swamp ,,,,,,,wet,swamp,,,swamp,swamp,,,,,,,,
Microcorys eremophiloides, grows in soils over massive laterite and occurs as scattered plants in closed health with emergent mallees ,,,,,scattered,scattered,,,,,mallee,mallees,,,lateritic,laterite,,,,
Microlepidium alatum, often grows in sheltered sites particularly in moss beds with southerly aspects The soil type of one subpopulation has been described as lightbrownwhite sandy loam over sheet limestone Pobke 2007 This species is found mostly in semiarid habitats in Melaleuca lanceolata openwoodland with chenopod and Eremophila shrubland ,,,,,,,semiarid,semiarid,,,woodland_open chenopod_shrubland shrubland,openwoodland chenopod shrubland openwoodland,,,limestone,limestone,loam sand,loam sandy,,
Corybas dienemus, found on the lower coastal terraces less than 30 m above sea level of the island and peatwetland where the vegetation is dominated by mosses which floaton a waterlogged underlayer The soil substrate is waterlogged peat where the water table is very close to the soil surface Clements and Jones 2007 ,,,,,,,wet,waterlogged water,coastal terraces,coastal terraces,floating_vegetation wetland_peat,floaton peatwetland,,,,,peat,peat,,
Newcastelia velutina, widespread in openwoodland and shrubland over granite hillslopes and crests and is locallycommon with a patchy distribution within the area ,,,,,common_locally widespread,locallycommon widespread,,,hills,hills,woodland_open shrubland,openwoodland shrubland openwoodland,,,granitic,granite,,,,
Notelaea ipsviciensis, grows as an understorey plant in openwoodlands and is primarily associated with eucalyptdominated drysclerophyll communities situated on poor sandstonebased soils Lock et al 2004 Beyleveld 2006 2007 ,,,,,,,dry,drys,,,dry_sclerophyll forest_dry_sclerophyll woodland_open,drysclerophyll drysclerophyll openwoodlands openwoodlands,,,,,sand,sands,,
Notelaea lloydii, occurs in open eucalyptforest often near the margins of vinethickets vineforests and softwood scrub at altitudes between 80 and 480 m It is usually found on stony shallow and rockysoils derived from sandstone or acid volcanic rocks often on steepslopes or near drainagelines Queensland Herbarium 2008 ,,,,,,,,,drainages slopes_steep,drainagelines steepslopes,forest_eucalyptus vine_thicket scrubland rocky,eucalyptforest vinethickets scrub vineforests rockys,,,acidic sandstone volcanic,acid sandstone volcanic,soil_rocky sand stony volcanic,rockysoils sands rockys stony volcanic,,
Olearia hygrophila, occurs in swamps in Melaleuca quinquenervia woodland or in Melaleuca quinquenerviaEucalyptus robusta openforest with a dense ground layer dominated by Baloskion tetraphyllus  very specific habitat requirements always observed growing in shade on wet peat with a pH of 42 Sparshott  Bostock 1993 ,,,,,,,wet,swamps wet,,,forest_open swamp woodland,openforest swamps woodland,,,,,peat,peat,,
Olearia pannosa subsp. pannosa, occurs in sandy flat areas and in hilly rocky areas in woodland or mallee Cropper 1993 Kahrimanis et al 2001 Hilly area soil types include hard pedal mottledyellow duplex and hard pedal red duplex Laut et al 1977 cited in Pobke 2007 mallee woodland and shrubland vegetation associations Obst 2005 ,,,,,,,,,flats hills,flat hilly,mallee shrubland rocky woodland,mallee shrubland rocky woodland,red,red,,,duplex sand soil_rocky,duplex sandy rocky,,
Acacia splendens, grows in brown gravelly loam on the slopes of a lateritic breakaway and on the adjoining colluvial slope and alluvial flat below the breakaway On the lateritic slopes of Population 1 the splendid wattle occurs in a low woodland of ,,,,,,,,,breakaways flats slopes,breakaway flat slopes,rocky woodland,breakaway woodland,brown,brown,alluvial lateritic,alluvial lateritic,gravel loam,gravelly loam,,
Acacia volubilis, Habitat is shrubland over laterite or sheet granite in disturbed malleeshrublands or heath Soils where the species occurs vary from brown loamyclay to redbrown sandy loam to yellowwhite sand or whitegrey sandyloams ,,,,,,,,,,,shrubland_mallee disturbed heath mallee shrubland,malleeshrublands disturbed heath mallees shrubland,brown,brown,granitic lateritic,granite laterite,loam_sandy loam sand,sandyloams sandyloams loam sand sandy,,
Bossiaea fragrans, occur within an open White Box Eucalyptus albens Woodland on slate and volcanic substrates eucalyptwoodland ,,,,,,,,,,,woodland_eucalypt,eucalyptwoodland,,,volcanic,volcanic,volcanic,volcanic,,
Pimelea pagophila, in more open habitat nearby Soils are generally sandy Carter 2006 eucalyptforest ,,,,,,,,,,,forest_eucalyptus,eucalyptforest,,,,,sand,sandy,,
Poranthera petalifera, occurs only in a high altitude sub alpine karst community ,,,,,,,,,,,alpine,alpine,,,,,,,,
Prasophyllum amoenum," bolsterheath cushion plants alpine sedgeland and alpineheath sensu Kirkpatrick 1999 whilst at Snug Tiers it occurs in sedge dominated moorsland and heaths At Snug Tiers the species occurs in a
grassy open area beside a track in an area of damp dense scrub and sedgeland on dolerite Jones et al 1999 habitat now considered atypical for the species TSS 2015 Soil at the Snug Tiers moorsland sites consists of a black peat over a silty clay loam whereas at Mt Wellington a fibrous peat surface overlays a black muck peat at depth at least in the more poorlydrained areas the underlying substrate being Jurassic dolerite The Snug Tiers site has a cold subalpine climate despite being at a lower altitude than the Wellington Range site= ",,,,,,,moist,damp,,,heath_alpine heath_bolster alpine heath scrubland subalpine,alpineheath bolsterheath alpine heaths scrub subalpine,black,black,dolerite,dolerite,clay loam peat silt,clay loam peat silty,,
Prasophyllum apoxychilum, coastalheathland or grassy and scrubby open eucalyptforest on sandy and clay loams often among rocks TSU 2000 ,,,,,,,,,,,forest_eucalyptus,eucalyptforest,,,,,clay loam sand,clay loams sandy,,
Prasophyllum castaneum, damp coastalheath ,,,,,,,moist,damp,,,heath_coastal,coastalheath,,,,,,,,
Prasophyllum favonium, grows among shrubs in windswept dense low heathland in drained dark grey to black sandy peaty loam at altitudes from 1030 m above sea level Jones 1998 Jones et al 1999 ,,,,,,,,,,,heath shrubland,heathland shrubs,black grey,black grey,,,loam peat sand,loam peaty sandy,,
