taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_moisture_a,habitat_moisture_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,substrate_a,substrate_f
Nothofagus cunninghamii,"HNF, HSF, OtR, Strz, VAlp, WPro. Also Tas. Restricted to cool, shaded forests, often in sheltered valleys. Occasionally (in absence of fire) growing in pure stands, but also as understorey in tall eucalypt forest or even with Eucalyptus pauciflora (e.g. Baw Baw Plateau).", restricted to cool shaded forests often in sheltered valley occasionally in absence of fire growing in pure stands but also as understorey in tall eucalypt forest or even with eucalyptus pauciflora eg baw baw plateaus ,,,forest,forests,,,plateaus valley,plateaus valley,,,,,,
Nothoscordum borbonicum,"*GipP, *Gold, *MuM, *VRiv, *VVP, *WaP. WA, SA, Qld, NSW, LHI, NI, ACT, Tas. Commonly a garden weed, and difficult to eradicate due to the numerous bulblets. Occasionally a weed of crops and pasture, but along the Wimmera River at Horsham it is reported as being abundant. Of scattered occurrence in Victoria, mostly north and west of Melbourne (Mildura area, Dimboola, Warracknabeal, Meredith, lower Goulburn valley, Melbourne suburbs, Dromana).", lhi commonly a garden weed and difficult to eradicate due to the numerous bulblets occasionally a weed of crops and pasture but along the wimmera river at horsham it is reported as being abundant of scattered occurrence in victoria mostly north and west of melbourne mildura area dimboola warracknabeal meredith lower goulburn valley melbourne suburbs dromana ,abundant scattered,abundant scattered,pasture urban,pasture garden,,,valley,valley,,,,,,
Notobasis syriaca,"Native from the Mediterranean region to central Asia. In Victoria, known only by several old (1920 and 1921) collections from the Mansfield district.", native from the mediterranean region to central asia in victoria known only by several old 1920 and 1921 collections from the mansfield district ,,,,,,,,,,,,,,
Notogrammitis angustifolia,"HSF, OtP, OtR, Strz, WPro.",  ,,,,,,,,,,,,,,
Notogrammitis angustifolia subsp. nothofageti,"HSF, OtP, OtR, Strz, WPro. Epiphytic or lithophytic in wet forest, and usually occurring singly or as a few plants. In the Otway Range it is both lithophytic, and epiphytic on Olearia argophylla. On Wilsons Promontory, the species has been recorded only as occurring on granite (Mt Oberon). In Tasmania, the species never occurs on tree-fern trunks (unlike N. billardierei). It is likely, but not established, that such a relationship between species and substrates occurs also in Victoria.", epiphytic or lithophytic in wetforest and usually occurring singly or as a few plants in the otway range it is both lithophytic and epiphytic on olearia argophylla on wilsons promontory the species has been recorded only as occurring on granite mt oberon in tasmania the species never occurs on treefern trunks unlike n billardierei it is likely but notestablished that such a relationship between species and substrates occurs also in victoria ,,,forest_wet,wetforest,,,,,,,,,granite,granite
Notogrammitis billardierei,"CVU, EGL, EGU, GipP, GGr, HFE, HNF, HSF, MonT, OtR, Strz, VAlp, VVP, WPro. Relatively common in shaded, moist forests, frequently growing on mossy logs and tree-fern trunks.", relatively common in shaded moist forests frequently growing on mossy logs and treefern trunks ,common,common,forest,forests,wet,moist,,,,,,,,
Notogrammitis crassior,"Only found at high altitude, forming mats on rocks and in rock crevices, often near water (e.g. Cobberas, Mt Hotham, Bryces Gorge and Mt Buller).", only found at high altitude forming mats on rocks and in rock crevices often near water eg cobberas mt hotham bryces gorge and mt buller ,,,,,wet,water,,,,,,,,
Notogrammitis heterophylla,"CVU, EGL, EGU, HNF, HSF, OtR, Strz, VAlp, WPro. Epiphytic on limbs and trunks of trees or fallen logs in sheltered gullies of rainforest, or sometimes in rock crevices.", epiphytic on limbs and trunks of trees or fallen logs in shelteredgullies of rainforest or sometimes in rock crevices ,,,rainforest,rainforest,,,gullies_sheltered,shelteredgullies,,,,,,
Notothixos subaureus,"EGL, EGU. Also Qld, NSW. Usually parasitic on other mistletoes, particularly Dendrophthoe vitellina.", usually parasitic on other mistletoes particularly dendrophthoe vitellina ,,,,,,,,,,,,,,
Nymphaea alba,"*CVU, *DunT, *GipP, *HSF, *MuF, *OtP. Also naturalised NSW. Native of Europe. Reported as naturalised in Victoria in a swamp at Glenthompson, along the Barwon River near Geelong and at Studley Park. Apparently deliberately introduced and reproducing vegetatively, possibly with the assistance of water fowl.", also naturalised native of europe reported as naturalised in victoria in a swamp at glenthompson along the barwon river near geelong and at studley park apparently deliberately introduced and reproducing vegetatively possibly with the assistance of water fowl ,,,swamp,swamp,wet,swamp water,,,,,,,,
Nymphaea mexicana,"*VRiv. Also naturalised Qld, NSW. Native of Mexico. So far recorded as naturalised in Victoria only along an anabranch of the Goulburn River near Nagambie, where the infestation is expanding rapidly, and near Glenthompson. It is potentially a very troublesome weed that can block waterways and eradication has proved difficult.", also naturalised native of mexico so far recorded as naturalised in victoria only along an anabranch of the goulburn river near nagambie where the infestation is expanding rapidly and near glenthompson it is potentially a very troublesome weed that can block waterways and eradication has proved difficult ,,,,,,,,,,,,,,
Nymphaea Ã—marliacea,"*DunT, *HSF, *VRiv.",  ,,,,,,,,,,,,,,
Nymphoides crenata,"DunT, MuF, MuM, NIS, VRiv, VVP, WPro, Wim. Also WA, NT, SA, Qld, NSW. Occurs in fresh, still to slow-flowing water to 1.5 m deep in swamps, lagoons, irrigation channels and streams, also frequent in temporarily inundated depressions. Rare in all regions except RIV (and perhaps now extinct in MID, PROM and WIM from where there have been no contemporary collections).", occurs in fresh still to slowflowing water to 15 m deep in swamps lagoons irrigation channels and streams also frequent in temporarily inundated depressions rare in all regions except riv and perhaps now extinct in mid prom and wim from where there have been no contemporary collections ,rare,rare,lagoons swamp,lagoons swamps swamps,wet,swamps water,depressions,depressions,,,,,,
Nymphoides geminata,"EGL, GipP, HNF, HSF, MuF, NIS, SnM, VRiv. Also SA, Qld, NSW. New Guinea. Occurs in fresh water to 40 cm deep in ephemeral or permanent swamps, streams and rockpools, thriving on saturated soil when stranded. Mostly between Heyfield and Bairnsdale, with isolated occurrences along the Murray River and near Mt Buffalo. Altitude to c. 600 m but mostly below 100 m.", new guinea occurs in fresh water to 40 cm deep in ephemeral or permanent swamps streams and rockpools thriving on saturated soil when stranded mostly between heyfield and bairnsdale with isolated occurrences along the murray river and near mt buffalo altitude to c 600 m but mostly below 100 m ,,,swamp,swamps swamps,wet,swamps water,,,,,,,,
Nymphoides montana,"CVU, HFE, HNF, HSF, MonT, SnM. Also NSW, ACT. Typically edging streams in slow- to swift-flowing, fresh, clear water to 2 m deep or in still backwaters, occasionally in swamps, at altitudes from c. 600–1400 m, mostly in montane or subalpine areas in the east, recent (post 1980) low-altitude collections at Riddells Creek and Cardinia Reservoir probably represent introduced occurrences.", typically edging streams in slow to swiftflowing fresh clear water to 2 m deep or in still backwaters occasionally in swamps at altitudes from c 600ï¿½1400 m mostly in montane or subalpine areas in the east recent post 1980 lowaltitude collections at riddells creek and cardinia reservoir probably represent introduced occurrences ,,,montane subalpine swamp,montane subalpine swamps swamps,wet,swamps water,,,,,,,,
Nymphoides spinulosperma,"Wim. Also Qld, NSW. Known in Victoria only from seasonal to permanent freshwater swamps to 75 cm deep, dominated by Eragrostis infecunda, near St Arnaud and Apsley, at altitudes from 150–170 m.", known in victoria only from seasonal to permanent freshwater swamps to 75 cm deep dominated by eragrostis infecunda near st arnaud and apsley at altitudes from 150ï¿½170 m ,,,swamp,swamps swamps,wet,swamps,,,,,,,,
Oenanthe pimpinelloides,"*CVU, *GipP, *VRiv. Also naturalised SA. Native to central and western Europe. In Victoria known only from Shepparton State Forest (where common in 1980), near Wonthaggi where a few plants were noted in 1996, and  a 2004 collection from St Georges Lake in Creswick.", also naturalised native to central and western europe in victoria known only from shepparton state forest where common in 1980 near wonthaggi where a few plants were noted in 1996 andï¿½ a 2004 collection from st georges lake in creswick ,common,common,forest,forest,,,,,,,,,,
Oenothera acaulis,"Naturalised in SA. Native to Chile, previously recorded in Victoria on coastal cliffs near Portland, last recorded at this site in 1920 and is presumed not to have persisted here.", naturalised in native to chile previously recorded in victoria on coastal cliffs near portland last recorded at this site in 1920 and is presumed notto have persisted here ,,,cliffs,cliffs,,,cliff,cliffs,,,,,,
Oenothera curtiflora,"*MuF, *MuM. Also naturalised QLD and NSW. Native to the USA and Mexico. First recorded in Victoria near Cohuna (1938), where it does not appear to have persisted. However, it has recently been discovered in the Mildura area, growing on weedy roadsides.", also naturalised qld and native to the usa and mexico first recorded in victoria near cohuna 1938 where it does notappear to have persisted however it has recently been discovered in the mildura area growing on weedy roadsidess ,,,roadside,roadsidess,,,,,,,,,,
Oenothera glazioviana,"*EGL, *EGU, *GipP, *Glep, *Gold, *HSF, *MuM, *NIS, *OtP, *OtR, *VVP. All States except NT. Naturalised worldwide. In Victoria it has become established in several disturbed localities (mostly near towns), as a garden-escape.", all states except naturalised worldwide in victoria it has become established in several disturbed localities mostly near towns as a gardenescape ,,,,,,,,,,,,,,
Oenothera laciniata,"Also naturalised WA, Qld, NSW. Native to the USA. Known in Victoria from a single population growing near Port Melbourne.   .", also naturalised native to the uknown in victoria from a single population growing near port melbourne ï¿½ï¿½ ,,,,,,,,,,,,,,
Oenothera lindheimeri,"*GipP. Also naturalised WA, SA, QLD, NSW, ACT. Native to the USA. Widely cultivated, plants occasionally escaping gardens into nearby bushland.", also naturalised qld native to the uwidely cultivated plants occasionally escaping gardens into nearby bushland ,,,cultivated urban,cultivated gardens gardens,,,,,,,,,,
Oenothera rosea,"*EGU, *MuM. Also naturalised Qld, NSW. Native to central America from Texas to Bolivia, widely cultivated. Has become established in the Mildura area in far north-western Victoria, presumably as a garden-escape.", also naturalised native to central america from texas to bolivia widely cultivated has become established in the mildura area in far northwestern victoria presumably as a gardenescape ,,,cultivated,cultivated,,,,,,,,,,
Oenothera speciosa,"*MuM, *Wim. Also naturalised WA, Qld, NSW. Native to the USA and Mexico, widely cultivated. Has become established in the Jeparit and Donald areas of western Victoria, presumably as a garden-escape.", also naturalised native to the usa and mexico widely cultivated has become established in the jeparit and donald areas of western victoria presumably as a gardenescape ,,,cultivated,cultivated,,,,,,,,,,
Oenothera stricta,"*CVU, *DunT, *EGL, *EGU, *GipP, *Gold, *LoM, *MuF, *MuM, *NIS, *OtP, *RobP, *VRiv, *VVP, *Wim.",  ,,,,,,,,,,,,,,
Oenothera stricta subsp. stricta,"*CVU, *DunT, *EGL, *EGU, *GipP, *Gold, *LoM, *MuF, *MuM, *NIS, *OtP, *RobP, *VRiv, *VVP, *Wim. Naturalised in all States. Widespread through lowland parts of Victoria particularly on sandy soils, mostly on roadsides, railway verges or in weedy riparian vegetation.", naturalised in all states widespread through lowland parts of victoria particularly on sandy soils mostly on roadsidess railway verges or in weedy riparian vegetation ,widespread,widespread,riparian roadside,riparian roadsidess,,,,,,,sand,sandy,,
Olax stricta,"EGL. Also Qld, NSW. Narrowly restricted in Victoria to heathy woodland and heathland south of Cann River, but locally abundant.", narrowly restricted in victoria to heathy woodland and heathland south of cann river but locallyabundant ,abundant_locally,locallyabundant,heath woodland,heathland woodland,,,,,,,,,,
Olea europaea,"*CVU, *EGU, *GipP, *Gold, *GGr, *HSF, *MuF, *MuM, *MSB, *NIS, *RobP, *VRiv, *VVP, *Wim.",  ,,,,,,,,,,,,,,
Olea europaea subsp. europaea,"*CVU, *Gold, *HSF, *MuM, *VRiv, *VVP, *Wim. Also naturalised WA, SA, Qld, NSW. Native to the Mediterranean region and south-west Asia. Grown for its oil-producing fruits and occasionally spontaneous in Victoria.", also naturalised native to the mediterranean region and southwest asia grown for its oilproducing fruits and occasionally spontaneous in victoria ,,,,,,,,,,,,,,
Olearia aglossa,"MonT, SnM. Also NSW. Rare, if present, in Victoria.", rare if present in victoria ,rare,rare,,,,,,,,,,,,
Olearia algida,"EGU, HNF, SnM, VAlp. Also NSW, Tas. Locally common in swampy heaths and wetter shrublands of alps and subalps.", locallycommon in swampy heaths and wetter shrublands of alps and subalps ,common_locally,locallycommon,alpine heath shrubland subalpine swamp,alps heaths shrublands subalps swampy,wet,swampy,,,,,,,,
Olearia alpicola,"EGU, HFE, HNF, MonT, SnM, VAlp. Also NSW. Moderately common in moist montane to subalpine forests of the eastern ranges (Dargo High Plains, Cobberas, Bonang, Errinundra Plateau etc.).", moderately common in moist montane to subalpine forests of the eastern ranges dargo high plains cobberas bonang errinundra plateaus etc ,common,common,montane plains subalpine forest,montane plains subalpine forests,wet,moist,plateaus,plateaus,,,,,,
Olearia argophylla,"CVU, EGL, EGU, GipP, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Also NSW, Tas. Widespread in gullies and wetter forests through much of the State, but surprisingly absent from the Grampians. Rare on the Volcanic Plain (e.g. at Tower Hill near Koroit).", widespread in gullies and wetter forests through much of the state but surprisingly absent from the grampians rare on the volcanic plain eg at tower hill near koroit ,rare widespread,rare widespread,forest,forests,,,gullies,gullies,,,volcanic,volcanic,volcanic,volcanic
Olearia asterotricha,"Brid, CVU, GipP, Glep, GGr, HNF, HSF, VVP. Also N.S.W.", also nsw ,,,,,,,,,,,,,,
Olearia asterotricha subsp. asterotricha,"GGr, VVP. Restricted to the Grampians National Park, often at somewhat elevated sites (250–600 m alt.), occurs in heathy woodland on sandy soils.", restricted to the grampians national park often at somewhat elevated sites 250ï¿½600 m alt occurs in heathy woodland on sandy soils ,,,woodland,woodland,,,,,,,sand,sandy,,
Olearia asterotricha subsp. lobata,"Brid, GipP, Glep, HNF, HSF, VVP. Occurs in moist forest and swampy heathland, generally at lower altitudes (up to c. 300 m alt.), in a few disjunct areas of southern Victoria (e.g. Portland area, Emerald, Gembrook and Tonimbuk), but generally uncommon.", occurs in moist forest and swampy heathland generally at lower altitudes up to c 300 m alt in a few disjunct areas of southern victoria eg portland area emerald gembrook and tonimbuk but generally uncommon ,uncommon,uncommon,heath swamp forest,heathland swampy forest,wet,swampy moist,,,,,,,,
Olearia asterotricha subsp. rotundifolia,"CVU. Apparently confined to a single population immediately below the summit of Mount Langi Ghiran, on south-facing slopes in damp woodland, growing amongst large granite boulders.", apparently confined to a single population immediately below the summit of mount langi ghiran on southfacing slopes in damp woodland growing amongst large granite boulders ,,,woodland,woodland,damp wet,damp damp,slopes,slopes,,,,,granite,granite
Olearia astroloba,"EGU. Endemic in Victoria. Very rare, known only from Silurian limestone and marble deposits supporting a localized dry shrubland community near the headwaters of the Tambo River.", endemic in victoria veryrare known only from silurian limestone and marble deposits supporting a localized dry shrubland community near the headwaters of the tambo river ,very_rare,veryrare,shrubland,shrubland,dry,dry,,,,,,,calcareous,limestone
Olearia axillaris,"Brid, EGL, GipP, Glep, OtP, OtR, VVP, WaP, WPro. Also WA, SA, NSW, Tas. Widespread and characteristic of coastal dunes and calcareous cliffs along much of the Victorian coastline.", widespread and characteristic of coastal dunes and calcareous cliffs along much of the victorian coastline ,widespread,widespread,sandunes cliffs,dunes dunes cliffs,,,cliff,cliffs,,,,,calcareous,calcareous
Olearia brevipedunculata,"VAlp. Also NSW. Occasional in shrubland and heathland of the Bogong High Plains and adjacent alpine areas, with an isolated records from Mount Buffalo and near Mt Kent, usually above treeline.", occasional in shrubland and heathland of the bogong high plains and adjacent alpine areas with an isolated records from mount buffalo and near mt kent usually above treeline ,,,heath plains shrubland,heathland plains shrubland,,,,,,,,,,
Olearia calcarea,"MuM. Also WA, SA, NSW. Rare in Victoria, confined to the far north-west, usually on loamy, limestone-rich soils in mallee woodland communities.", rare in victoria confined to the far northwest usually on loamy limestonerich soils in mallee woodland communities ,rare,rare,mallee woodland,mallee woodland,,,,,,,,,,
Olearia ciliata,"CVU, DunT, Glep, GGr, LoM, MuM, OtP, OtR, WPro, Wim.",  ,,,,,,,,,,,,,,
Olearia ciliata var. ciliata,"CVU, Glep, GGr, LoM, MuM, OtP, WPro, Wim. Also WA, SA. Moderately common in sandy mallee and mallee-heath in the north-west of Victoria, scattered through heathy woodlands of the Grampians, Dergholm area, Brisbane Ranges and Wilsons Promontory.", moderately common in sandy mallee and malleeheath in the northwest of victoria scattered through heathy woodlands of the grampians dergholm area brisbane ranges and wilsons promontory ,common scattered,common scattered,mallee_heath mallee woodland,malleeheath mallee woodlands woodlands,,,,,,,sand,sandy,,
Olearia curticoma,EGU. Endemic in Victoria where confined to dry forest on rocky ground above the Mitchell River near Glenaladale., endemic in victoria where confined to dryforest on rockyground above the mitchell river near glenaladale ,,,forest_dry rocky,dryforest rockyground,,,,,,,,,,
Olearia decurrens,"CVU, Gold, LoM, MuM, VRiv, VVP, Wim. Also SA, NSW. In Victoria scattered through mallee scrubs of the north-west, and whipstick mallee and box-ironbark forests of the central north, with a small disjunct population in broken, rocky country near Diggers Rest.", in victoria scattered through malleescrubs of the northwest and whipstick mallee and boxironbark forests of the central north with a small disjunct population in broken rocky country near diggers rest ,scattered,scattered,shrubland_mallee mallee forest,malleescrubs mallees forests,,,,,,,rocky,rocky,,
Olearia erubescens,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Also SA, NSW, Tas. Widespread through foothill to montane forests and Eucalyptus pauciflora woodlands, often in rocky country.", widespread through foothill to montane forests and eucalyptus pauciflora woodlands often in rocky country ,widespread,widespread,montane forest woodland,montane forests woodlands woodlands,,,,,,,rocky,rocky,,
Olearia floribunda,"CVU, DunT, EGL, Glep, Gold, GGr, HNF, LoM, MonT, MuM, NIS, SnM, VAlp, VVP, Wim. Also SA, NSW, Tas. Widespread through a wide variety of habitats across southern parts of the State, extending as far north as the Little Desert, Bendigo Whipstick, and Corryong areas, and from near sea-level to the subalps (but see note under O. algida).", widespread through a wide varietyofhabitats across southern parts of the state extending as far north as the little desert bendigo whipstick and corryong areas and from near sealevel to the subalps but see note under o algida ,widespread,widespread,various subalpine,varietyofhabitats subalps,,,,,,,,,,
Olearia frostii,"GipP, HNF, VAlp. Endemic in Victoria. Confined to heathland, grassland and Eucalyptus pauciflora woodland on the Bogong High Plains and nearby peaks (e.g. Mts Hotham, Loch and Feathertop), but there locally common.", endemic in victoria confined to heathland grassland and eucalyptus pauciflora woodland on the bogong high plains and nearby peaks eg mts hotham loch and feathertop but there locallycommon ,common_locally,locallycommon,grassland heath plains woodland,grassland heathland plains woodland,,,,,,,,,,
Olearia glandulosa,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, SnM, VAlp, VRiv, VVP, WaP. Also SA, NSW, Tas. Widespread, but seldom common, in cooler parts of the State, mostly south of the Great Dividing Range, typically growing on margins of swamps or creeks.", widespread but seldom common in cooler parts of the state mostly south of the great dividing range typically growing on margins of swamps or creeks ,common widespread,common widespread,swamp,swamps swamps,wet,swamps,,,,,,,,
Olearia glutinosa,"Brid, EGL, GipP, Glep, OtP, OtR, Strz, WaP, WPro. Also SA, NSW. Scattered along coastal dunes and sandstone or limestone cliffs.", scattered along coastal dunes and sandstone or limestone cliffs ,scattered,scattered,sandunes cliffs,dunes dunes cliffs,,,cliff,cliffs,,,sand,sands,calcareous sandstone,limestone sandstone
Olearia iodochroa,"EGL, EGU, GipP, HNF, HSF, MonT, SnM, VVP. Also NSW. Confined in Victoria to dry, rocky, elevated country in the further east (e.g. upper Tambo River valley, Wulgulmerang, Suggan Buggan, Mt Tingaringy, upper Genoa River).", confined in victoria to dry rocky elevated country in the further east eg upper tambo rivervalley wulgulmerang suggan buggan mt tingaringy upper genoa river ,,,,,dry,dry,valley,rivervalley,,,rocky,rocky,,
Olearia lanuginosa,"CVU, DunT, GipP, Gold, GGr, LoM, MuM, VVP, Wim. Also SA. Occurs in heathy mallee of the Big and Little Deserts and heathland and woodlands of the Grampians and adjacent areas, with a disjunct occurrence in the Brisbane Ranges.", occurs in heathy mallee of the big and little deserts and heathland and woodlands of the grampians and adjacent areas with a disjunct occurrence in the brisbane ranges ,,,heath mallee woodland,heathland mallee woodlands woodlands,,,,,,,,,,
Olearia lepidophylla,"EGL, GipP, GGr, LoM, MuM, OtP, RobP, VAlp, VVP, Wim. Also SA, NSW, Tas. In Victoria chiefly a species of sandy mallee communities in the far north-west, but with disjunct occurrences along the coast near Moonlight Head and Barwon Heads (similarly, coastal populations are known from northern Tasmania, including King Island) and in the east.", in victoria chiefly a species of sandy mallee communities in the far northwest but with disjunct occurrences along the coast near moonlight head and barwon heads similarly coastal populations are known from northern tasmania including king island and in the east ,,,mallee,mallee,,,,,,,sand,sandy,,
Olearia lirata,"CVU, EGL, EGU, GipP, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VVP, WaP, WPro. Also NSW, Tas. Common in moist forest and scrub east from the Otway Range, ranging from near sea-level to the subalps.", common in moist forest and scrub east from the otway range ranging from near sealevel to the subalps ,common,common,scrub subalpine forest,scrub subalps forest,wet,moist,,,,,,,,
Olearia magniflora,"LoM, MuM, VRiv. Also SA, Qld, NSW. In Victoria confined to the far north-west where an occasional component of mallee woodland, usually on lime-rich sandy loam soils. There is a single 1911 record purportedly from Dimboola.", in victoria confined to the far northwest where an occasional component of mallee woodland usually on limerich sandy loam soils there is a single 1911ï¿½record purportedly from dimboola ,,,mallee woodland,mallee woodland,,,,,,,loam sand,loam sandy,,
Olearia megalophylla,"EGU, HFE, HNF, HSF, MonT, NIS, SnM, VAlp. Also NSW. Scattered in montane and subalpine forests and woodlands (usually dominated by Eucalyptus delegatensis or E. pauciflora) east from about Lake Mountain.", scattered in montane and subalpine forests and woodlands usually dominated by eucalyptus delegatensis or e pauciflora east from about lake mountain ,scattered,scattered,montane subalpine forest woodland,montane subalpine forests woodlands woodlands,,,,,,,,,,
Olearia minor,"CVU, LoM, MuM, VVP, Wim. Also WA, SA, NSW. Scattered on loamy soils with mallee in the north-west (Bambill, Murrayville, Beulah, fringes of the Little Desert), localized, but locally common in dry forest in the northern Brisbane Ranges and Werribee Gorge.", scattered on loamy soils with mallee in the northwest bambill murrayville beulah fringes of the little desert localized but locallycommon in dryforest in the northern brisbane ranges and werribee gorge ,common_locally scattered,locallycommon scattered,forest_dry mallee,dryforest mallee,,,,,,,,,,
Olearia muelleri,"LoM, MuF, MuM, RobP, VVP, Wim. Also WA, SA, NSW. Locally common in mallee woodlands on sandy loam, sometimes slightly saline soils in flat country or on low dunes.", locallycommon in mallee woodlands on sandy loam sometimes slightly saline soils in flatcountry or on low dunes ,common_locally,locallycommon,mallee sandunes woodland,mallee dunes dunes woodlands woodlands,,,plains,flatcountry,,,loam sand,loam sandy,saline,saline
Olearia myrsinoides,"CVU, DunT, EGL, EGU, GipP, Gold, GGr, HFE, HNF, HSF, MonT, MuM, NIS, OtP, OtR, SnM, Strz, VAlp, VVP, WPro. Also NSW, ACT. Largely overlapping geographically and ecologically with O. erubescens, but probably commoner at lower altitudes and rarer in subalpine sites.", largely overlapping geographically and ecologically with o erubescens but probably commoner at lower altitudes and rarer in subalpine sites ,,,subalpine,subalpine,,,,,,,,,,
Olearia pannosa,"CVU, Gold, OtP, VRiv, VVP.",  ,,,,,,,,,,,,,,
Olearia pannosa subsp. cardiophylla,"CVU, Gold, OtP, VRiv, VVP. Also SA. Rare, in Victoria known from dry open-forest, on shallow rocky soils near Wedderburn, Rushworth and in the Brisbane Ranges, and in coastal woodland near Anglesea.", rare in victoria known from dry openforest on shallow rockysoils near wedderburn rushworth and in the brisbane ranges and in coastal woodland near anglesea ,rare,rare,forest_open woodland,openforest woodland,dry,dry,,,,,rocky,rockysoils rockys,,
Olearia passerinoides,"Gold, LoM, MuM, RobP, Wim.",  ,,,,,,,,,,,,,,
Olearia passerinoides subsp. glutescens,"Gold. Also SA. Rare, restricted in Victoria to a single population near Inglewood, growing at the edges of Box-Ironbark forest dominated by Eucalyptus leucoxylon and E. microcarpa. Also previously thought to have occurred at the mouth of the Glenelg River in south-western Victoria. However, this record was an incorrectly labelled specimen of Olearia glutinosa.", rare restricted in victoria to a single population near inglewood growing at the edges of boxironbark forest dominated by eucalyptus leucoxylon and e microcarpa also previously thought to have occurred at the mouth of the glenelg river in southwestern victoria however this record was an incorrectly labelled specimen of olearia glutinosa ,rare,rare,forest,forest,,,,,,,,,,
Olearia passerinoides subsp. passerinoides,"LoM, MuM, Wim. Also WA, SA, NSW. In Victoria confined to mallee communities of the north-west (e.g. Red Cliffs, Hattah, Annuello, Robinvale areas), and uncommon to rare.", in victoria confined to mallee communities of the northwest eg red cliffs hattah annuello robinvale areas and uncommon to rare ,rare uncommon,rare uncommon,mallee cliffs,mallee cliffs,,,cliff,cliffs,,,,,,
Olearia phlogopappa,"CVU, EGL, EGU, GipP, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro.",  ,,,,,,,,,,,,,,
Olearia phlogopappa subsp. continentalis,"CVU, EGL, EGU, GipP, GGr, HFE, HNF, HSF, MonT, NIS, OtR, SnM, Strz, VAlp. Also NSW. Common and widespread in moist to wet forest in eastern Victoria.", common and widespread in moist to wetforest in eastern victoria ,common widespread,common widespread,forest_wet,wetforest,wet,moist,,,,,,,,
Olearia phlogopappa subsp. flavescens,"EGU, HFE, HNF, HSF, SnM, VAlp, VRiv. Also NSW. Common throughout alpine and subalpine areas (above c. 1300 m alt), often in rocky areas, and usually growing in heath or shrubland above the treeline, or in shrubby substratum of Eucalyptus pauciflora woodlands.", common throughout alpine and subalpine areas above c 1300 m alt often in rocky areas and usually growing in heath or shrubland above the treeline or in shrubby substratum of eucalyptus pauciflora woodlands ,common,common,heath shrubland subalpine woodland,heath shrubland subalpine woodlands woodlands,,,,,,,rocky,rocky,,
Olearia phlogopappa subsp. insularis,"EGL, GipP, Strz, WPro. Also Tas. (Bass Strait islands). Restricted to coastal heath and woodland, on and west Wilsons Promontory (Inverloch, Waratah Bay, Cape Patterson), with isolated records from the Gippsland Lakes area and Mallacoota, generally in deep sands on the leeward side of primary dunes and secondary dunes.", bass strait islands restricted to coastal heath and woodland on and west wilsons promontory inverloch waratah bay cape patterson with isolated records from the gippsland lakes area and mallacoota generally in deep sands on the leeward side of primary dunes and secondary dunes ,,,heath lakes sandunes woodland,heath lakes dunes dunes woodland,,,,,,,sand,sands,,
Olearia phlogopappa subsp. phlogopappa,"GipP. Also Tas. Apparently restricted in Victoria to Wilsons Promontory, where growing at relatively high altitudes (c. 300–500 m) in shrubland and open woodland on exposed rocky sites and extending down along gully margins into adjacent open forest.", apparently restricted in victoria to wilsons promontory where growing at relatively high altitudes c 300ï¿½500 m in shrubland and openwoodland on exposed rockysites and extending down along gully margins into adjacent openforest ,,,forest_open woodland_open shrubland,openforest openwoodland shrubland openwoodland,,,rocky,rockysites,,,rocky,rockysites rockys,,
Olearia phlogopappa subsp. salicina,"GGr, OtP, OtR, VVP, WaP. Also Tas. Restricted to the Otways, Anglesea-Lorne area and southern Grampians, in a range of habitats from tall wet forest to dry woodland.", restricted to the otways anglesealorne area and southern grampians in a range of habitats from tall wetforest to drywoodland ,,,forest_wet woodland_dry,wetforest drywoodland,,,,,,,,,,
Olearia phlogopappa subsp. serrata,"HSF, SnM, VAlp. Also NSW. Restricted to a few isolated populations on the Snowy Range, Baw Baw and Nunniong Plateau, found in open heath near the margins of Eucalyptus pauciflora woodland, typically associated with valley slopes and headwaters.", restricted to a few isolated populations on the snowy range baw baw and nunniong plateaus found in open heath near the margins of eucalyptus pauciflora woodland typically associated with valley slopes and headwaters ,,,heath woodland,heath woodland,,,plateaus slopes valley,plateaus slopes valley,,,,,,
Olearia picridifolia,"LoM, MuM, Wim. Also WA, SA, NSW. Rare in Victoria, apparently confined to low dune-mallee communities in the north-west (e.g. Serviceton, Lake Albacutya, Murrayville areas).", rare in victoria apparently confined to low dunemallee communities in the northwest eg serviceton lake albacutya murrayville areas ,rare,rare,,,,,,,,,,,,
