vial,stage,sp,rep,repeat,nm,ecto,hyp,ves,arb,total,total.am,arbuscles%,hyphae%,vesicles%,AM%,EM%
53,SW,Allocasuarina humilis,10,1,104,10,10,10,1,135,21,0.740740741,7.407407407,7.407407407,15.55555556,7.407407407
54,SW,Allocasuarina humilis,11,1,116,9,12,12,6,155,30,3.870967742,7.741935484,7.741935484,19.35483871,5.806451613
,SW,Allocasuarina humilis,12,1,144,6,1,1,1,153,3,0.653594771,0.653594771,0.653594771,1.960784314,3.921568627
,SW,Allocasuarina humilis,13,1,152,6,0,0,0,158,0,0,0,0,0,3.797468354
,SW,Acacia rostellifera,1,1,122,1,14,14,3,154,31,1.948051948,9.090909091,9.090909091,20.12987013,0.649350649
,SW,Acacia rostellifera,2,1,140,12,0,0,0,152,0,0,0,0,0,7.894736842
,SW,Acacia rostellifera,3,1,150,0,0,0,0,150,0,0,0,0,0,0
,SW,Acacia rostellifera,4,1,117,2,0,0,0,119,0,0,0,0,0,1.680672269
,SW,Acacia rostellifera,5,1,139,13,0,0,0,152,0,0,0,0,0,8.552631579
,SW,Acacia rostellifera,6,1,148,3,0,0,0,151,0,0,0,0,0,1.986754967
,SW,Acacia rostellifera,7,1,144,1,2,2,1,150,5,0.666666667,1.333333333,1.333333333,3.333333333,0.666666667
,SW,Acacia rostellifera,8,1,148,2,0,0,0,150,0,0,0,0,0,1.333333333
,SW,Acacia rostellifera,10,1,99,6,0,0,0,105,0,0,0,0,0,5.714285714
,SW,Acacia rostellifera,11,1,156,4,0,0,0,160,0,0,0,0,0,2.5
,SW,Acacia spathulifolia,1,1,118,3,12,5,12,150,29,8,8,3.333333333,19.33333333,2
,SW,Acacia spathulifolia,2,1,139,1,6,6,0,152,12,0,3.947368421,3.947368421,7.894736842,0.657894737
,SW,Acacia spathulifolia,3,1,152,2,0,0,0,154,0,0,0,0,0,1.298701299
,SW,Acacia spathulifolia,4,1,142,5,2,2,0,151,4,0,1.324503311,1.324503311,2.649006623,3.311258278
,SW,Acacia spathulifolia,5,1,137,4,5,4,2,152,11,1.315789474,3.289473684,2.631578947,7.236842105,2.631578947
,SW,Acacia spathulifolia,6,1,91,0,26,26,7,150,59,4.666666667,17.33333333,17.33333333,39.33333333,0
,SW,Acacia spathulifolia,7,1,111,1,19,18,2,151,39,1.324503311,12.58278146,11.9205298,25.82781457,0.662251656
,SW,Acacia spathulifolia,8,1,124,4,13,10,5,156,28,3.205128205,8.333333333,6.41025641,17.94871795,2.564102564
,SW,Acacia spathulifolia,9,1,87,5,27,23,9,151,59,5.960264901,17.8807947,15.23178808,39.07284768,3.311258278
,SW,Acacia spathulifolia,10,1,107,12,15,10,7,151,32,4.635761589,9.933774834,6.622516556,21.19205298,7.947019868
,SW,Gompholobium tomentosum,4,1,75,0,0,0,0,75,0,0,0,0,0,0
,SW,Gompholobium tomentosum,7,1,107,0,5,5,1,118,11,0.847457627,4.237288136,4.237288136,9.322033898,0
,SW,Gompholobium tomentosum,8,1,62,0,0,0,0,62,0,0,0,0,0,0
,SW,Gompholobium tomentosum,9,1,49,0,0,0,0,49,0,0,0,0,0,0
,SW,Hibbertia hypericoides,1,1,135,10,2,2,2,151,6,1.324503311,1.324503311,1.324503311,3.973509934,6.622516556
,SW,Hibbertia hypericoides,2,1,127,10,7,1,7,152,15,4.605263158,4.605263158,0.657894737,9.868421053,6.578947368
,SW,Hibbertia hypericoides,3,1,157,0,1,1,0,159,2,0,0.628930818,0.628930818,1.257861635,0
,SW,Hibbertia hypericoides,4,1,72,5,11,7,7,102,25,6.862745098,10.78431373,6.862745098,24.50980392,4.901960784
,SW,Hibbertia hypericoides,5,1,123,12,9,7,1,152,17,0.657894737,5.921052632,4.605263158,11.18421053,7.894736842
,SW,Hibbertia hypericoides,7,1,40,2,1,0,0,43,1,0,2.325581395,0,2.325581395,4.651162791
,SW,Hibbertia hypericoides,8,1,125,0,0,0,0,125,0,0,0,0,0,0
,SW,Hibbertia hypericoides,9,1,119,2,0,0,0,121,0,0,0,0,0,1.652892562
,SW,Hibbertia hypericoides,10,1,126,7,0,0,0,133,0,0,0,0,0,5.263157895
,SW,Labichea cassioides,1,1,124,3,15,15,3,160,33,1.875,9.375,9.375,20.625,1.875
